source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[cell line]
PXD024364-Sample 4	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 74	proteomic profiling by mass spectrometry	20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr1.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001306;NT=Chymotrypsin	AC=PRIDE:0000591;NT=CAD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 4	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 75	proteomic profiling by mass spectrometry	20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr2.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr2.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001306;NT=Chymotrypsin	AC=PRIDE:0000591;NT=CAD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 4	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 76	proteomic profiling by mass spectrometry	20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr3_151016122547.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr3_151016122547.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001306;NT=Chymotrypsin	AC=PRIDE:0000591;NT=CAD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 4	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 77	proteomic profiling by mass spectrometry	20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr4_151016140009.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr4_151016140009.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001306;NT=Chymotrypsin	AC=PRIDE:0000591;NT=CAD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 4	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 78	proteomic profiling by mass spectrometry	20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr5_151016153254.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr5_151016153254.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001306;NT=Chymotrypsin	AC=PRIDE:0000591;NT=CAD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 4	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 79	proteomic profiling by mass spectrometry	20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr6.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr6.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001306;NT=Chymotrypsin	AC=PRIDE:0000591;NT=CAD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 4	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 80	proteomic profiling by mass spectrometry	20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr7.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr7.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001306;NT=Chymotrypsin	AC=PRIDE:0000591;NT=CAD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 4	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 81	proteomic profiling by mass spectrometry	20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr8.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr8.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001306;NT=Chymotrypsin	AC=PRIDE:0000591;NT=CAD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 4	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 82	proteomic profiling by mass spectrometry	20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr9.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr9.raw	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001306;NT=Chymotrypsin	AC=PRIDE:0000591;NT=CAD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 4	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 83	proteomic profiling by mass spectrometry	20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr10.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151015_alr_CompleteHumanProteome_GM12878_chymotrypsin_CAD_fr10.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001306;NT=Chymotrypsin	AC=PRIDE:0000591;NT=CAD	20 ppm	0.35 Da	GM12878
