source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[cell line]
PXD024364-Sample-10	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 286	proteomic profiling by mass spectrometry	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr1.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	20 ppm	0.35 Da	GM12878
PXD024364-Sample-10	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 287	proteomic profiling by mass spectrometry	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr2.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr2.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	20 ppm	0.35 Da	GM12878
PXD024364-Sample-10	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 288	proteomic profiling by mass spectrometry	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr3.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr3.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	20 ppm	0.35 Da	GM12878
PXD024364-Sample-10	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 289	proteomic profiling by mass spectrometry	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr6.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr6.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	20 ppm	0.35 Da	GM12878
PXD024364-Sample-10	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 290	proteomic profiling by mass spectrometry	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr7.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr7.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	20 ppm	0.35 Da	GM12878
PXD024364-Sample-10	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 291	proteomic profiling by mass spectrometry	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr8.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr8.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	20 ppm	0.35 Da	GM12878
PXD024364-Sample-10	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 292	proteomic profiling by mass spectrometry	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr9.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr9.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	20 ppm	0.35 Da	GM12878
PXD024364-Sample-10	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 293	proteomic profiling by mass spectrometry	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr10.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr10.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	20 ppm	0.35 Da	GM12878
PXD024364-Sample-10	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 294	proteomic profiling by mass spectrometry	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr11.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr11.raw	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	20 ppm	0.35 Da	GM12878
PXD024364-Sample-10	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 295	proteomic profiling by mass spectrometry	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr12.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr12.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	20 ppm	0.35 Da	GM12878
