source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[cell line]
PXD024364-Sample 20	Homo sapiens	Uterus	31Y	not available	HeLaS3	epithelial	female	Black	Adenocarcinoma	1	cell	run 630	proteomic profiling by mass spectrometry	20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr1.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	HeLaS3
PXD024364-Sample 20	Homo sapiens	Uterus	31Y	not available	HeLaS3	epithelial	female	Black	Adenocarcinoma	1	cell	run 641	proteomic profiling by mass spectrometry	20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr2.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr2.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	HeLaS3
PXD024364-Sample 20	Homo sapiens	Uterus	31Y	not available	HeLaS3	epithelial	female	Black	Adenocarcinoma	1	cell	run 652	proteomic profiling by mass spectrometry	20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr3.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr3.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	HeLaS3
PXD024364-Sample 20	Homo sapiens	Uterus	31Y	not available	HeLaS3	epithelial	female	Black	Adenocarcinoma	1	cell	run 654	proteomic profiling by mass spectrometry	20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr4.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr4.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	HeLaS3
PXD024364-Sample 20	Homo sapiens	Uterus	31Y	not available	HeLaS3	epithelial	female	Black	Adenocarcinoma	1	cell	run 658	proteomic profiling by mass spectrometry	20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr8.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr8.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	HeLaS3
PXD024364-Sample 20	Homo sapiens	Uterus	31Y	not available	HeLaS3	epithelial	female	Black	Adenocarcinoma	1	cell	run 659	proteomic profiling by mass spectrometry	20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr9.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr9.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	HeLaS3
PXD024364-Sample 20	Homo sapiens	Uterus	31Y	not available	HeLaS3	epithelial	female	Black	Adenocarcinoma	1	cell	run 631	proteomic profiling by mass spectrometry	20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr10.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr10.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	HeLaS3
PXD024364-Sample 20	Homo sapiens	Uterus	31Y	not available	HeLaS3	epithelial	female	Black	Adenocarcinoma	1	cell	run 632	proteomic profiling by mass spectrometry	20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr11.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr11.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	HeLaS3
PXD024364-Sample 20	Homo sapiens	Uterus	31Y	not available	HeLaS3	epithelial	female	Black	Adenocarcinoma	1	cell	run 633	proteomic profiling by mass spectrometry	20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr12.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr12.raw	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	HeLaS3
PXD024364-Sample 20	Homo sapiens	Uterus	31Y	not available	HeLaS3	epithelial	female	Black	Adenocarcinoma	1	cell	run 634	proteomic profiling by mass spectrometry	20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr13.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151031_alr_CompleteHumanProteome_HeLaS3_ETD_GluC_fr13.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	HeLaS3
