source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	Material Type	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD004873-Sample-1	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	1	1	tissue	run 1	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver1.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver1.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-1	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	1	1	tissue	run 2	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver39.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver39.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-2	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	2	2	tissue	run 3	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver2.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver2.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-2	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	2	2	tissue	run 4	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver40.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver40.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-3	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	3	3	tissue	run 5	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver3.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver3.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-3	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	3	3	tissue	run 6	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver41.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver41.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-4	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	4	4	tissue	run 7	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver4.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver4.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-4	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	4	4	tissue	run 8	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver42.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver42.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-5	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	5	5	tissue	run 9	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver5.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver5.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-5	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	5	5	tissue	run 10	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver43.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver43.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
