source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	characteristics[technology type]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[organism part]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]
PXD009261-Sample-2	Homo sapiens	cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 18	proteomic profiling by mass spectrometry	Cornea_IG_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001313;NT=Trypsin	10 ppm	0.5 Da	cornea
PXD009261-Sample-2	Homo sapiens	cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 19	proteomic profiling by mass spectrometry	Cornea_IG_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001313;NT=Trypsin	10 ppm	0.5 Da	cornea
PXD009261-Sample-2	Homo sapiens	cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 20	proteomic profiling by mass spectrometry	Cornea_IG_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001313;NT=Trypsin	10 ppm	0.5 Da	cornea
PXD009261-Sample-2	Homo sapiens	cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 21	proteomic profiling by mass spectrometry	Cornea_IG_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_12.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001313;NT=Trypsin	10 ppm	0.5 Da	cornea
PXD009261-Sample-2	Homo sapiens	cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 22	proteomic profiling by mass spectrometry	Cornea_IG_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_13.raw	1	13	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001313;NT=Trypsin	10 ppm	0.5 Da	cornea
PXD009261-Sample-2	Homo sapiens	cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 24	proteomic profiling by mass spectrometry	Cornea_IG_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_14.raw	1	14	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001313;NT=Trypsin	10 ppm	0.5 Da	cornea
PXD009261-Sample-2	Homo sapiens	cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 25	proteomic profiling by mass spectrometry	Cornea_IG_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_15.raw	1	15	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001313;NT=Trypsin	10 ppm	0.5 Da	cornea
PXD009261-Sample-2	Homo sapiens	cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 26	proteomic profiling by mass spectrometry	Cornea_IG_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_16.raw	1	16	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001313;NT=Trypsin	10 ppm	0.5 Da	cornea
PXD009261-Sample-2	Homo sapiens	cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 27	proteomic profiling by mass spectrometry	Cornea_IG_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_17.raw	1	17	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001313;NT=Trypsin	10 ppm	0.5 Da	cornea
PXD009261-Sample-2	Homo sapiens	cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 28	proteomic profiling by mass spectrometry	Cornea_IG_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_18.raw	1	18	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001313;NT=Trypsin	10 ppm	0.5 Da	cornea
