source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	"	comment[proteomics data acquisition method]"	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[collision energy]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value
PXD010690-Sample-1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 1	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	QExHF03261.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03261.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample-1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 2	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161787	QExHF03263.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03263.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample-1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 3	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161788	QExHF03265.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03265.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample-1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 4	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161789	QExHF03267.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03267.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample-1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 5	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161790	QExHF03269.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03269.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample-1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 6	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161791	QExHF03271.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03271.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample-1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 7	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161792	QExHF03283.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03283.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample-1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 8	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161793	QExHF03285.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03285.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample-1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 9	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161794	QExHF03287.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03287.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample-1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 10	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161795	QExHF03289.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03289.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
