source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[Condition BioReplicate]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[Condition BioReplicate]
PXD001064-Sample-1	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-04-A	1	cell	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_009_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_009_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-04-A
PXD001064-Sample-2	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-04-A	1	cell	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130319_004_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130319_004_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-04-A
PXD001064-Sample-3	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-04-B	1	cell	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_010_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_010_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-04-B
PXD001064-Sample-4	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-04-B	1	cell	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130319_007_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130319_007_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-04-B
PXD001064-Sample-5	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-05-A	1	cell	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130211_001_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130211_001_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-05-A
PXD001064-Sample-6	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-05-A	1	cell	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_036_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_036_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-05-A
PXD001064-Sample-7	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-05-B	1	cell	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130211_002_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130211_002_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-05-B
PXD001064-Sample-8	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-05-B	1	cell	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_037_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_037_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-05-B
PXD001064-Sample-9	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-06-A	1	cell	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_026_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_026_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-06-A
PXD001064-Sample-10	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-06-A	1	cell	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_035_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_035_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-06-A
