Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	characteristics[mass]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[dissociation method]	comment[collosion energy]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[disease]
PXD021272-Sample-1	homo sapiens	lymph	8Y	not available	SUP-T1	not available	male	childhood T lymphoblastic lymphoma	not available	1	lymph	run 1	proteomic profiling by mass spectrometry	SUPT1_SCX1_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD021272/SUPT1_SCX1_R1.raw	1	1	AC=MS:1000422;NT=HCD	33% NCE	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da	childhood T lymphoblastic lymphoma
PXD021272-Sample-1	homo sapiens	lymph	8Y	not available	SUP-T1	not available	male	childhood T lymphoblastic lymphoma	not available	1	lymph	run 2	proteomic profiling by mass spectrometry	SUPT1_SCX2_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD021272/SUPT1_SCX2_R1.raw	2	2	AC=MS:1000422;NT=HCD	33% NCE	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da	childhood T lymphoblastic lymphoma
PXD021272-Sample-1	homo sapiens	lymph	8Y	not available	SUP-T1	not available	male	childhood T lymphoblastic lymphoma	not available	1	lymph	run 3	proteomic profiling by mass spectrometry	SUPT1_SCX3_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD021272/SUPT1_SCX3_R1.raw	3	3	AC=MS:1000422;NT=HCD	33% NCE	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da	childhood T lymphoblastic lymphoma
PXD021272-Sample-1	homo sapiens	lymph	8Y	not available	SUP-T1	not available	male	childhood T lymphoblastic lymphoma	not available	1	lymph	run 4	proteomic profiling by mass spectrometry	SUPT1_SCX4_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD021272/SUPT1_SCX4_R1.raw	4	4	AC=MS:1000422;NT=HCD	33% NCE	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da	childhood T lymphoblastic lymphoma
PXD021272-Sample-1	homo sapiens	lymph	8Y	not available	SUP-T1	not available	male	childhood T lymphoblastic lymphoma	not available	1	lymph	run 5	proteomic profiling by mass spectrometry	SUPT1_SCX5_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD021272/SUPT1_SCX5_R1.raw	5	5	AC=MS:1000422;NT=HCD	33% NCE	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da	childhood T lymphoblastic lymphoma
PXD021272-Sample-1	homo sapiens	lymph	8Y	not available	SUP-T1	not available	male	childhood T lymphoblastic lymphoma	not available	1	lymph	run 6	proteomic profiling by mass spectrometry	SUPT1_SCX6_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD021272/SUPT1_SCX6_R1.raw	6	6	AC=MS:1000422;NT=HCD	33% NCE	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da	childhood T lymphoblastic lymphoma
PXD021272-Sample-2	homo sapiens	lymph	8Y	not available	SUP-T1	not available	male	childhood T lymphoblastic lymphoma	not available	2	lymph	run 7	proteomic profiling by mass spectrometry	SUPT1_SCX1_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD021272/SUPT1_SCX1_R2.raw	1	1	AC=MS:1000422;NT=HCD	33% NCE	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da	childhood T lymphoblastic lymphoma
PXD021272-Sample-2	homo sapiens	lymph	8Y	not available	SUP-T1	not available	male	childhood T lymphoblastic lymphoma	not available	2	lymph	run 8	proteomic profiling by mass spectrometry	SUPT1_SCX2_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD021272/SUPT1_SCX2_R2.raw	2	2	AC=MS:1000422;NT=HCD	33% NCE	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da	childhood T lymphoblastic lymphoma
PXD021272-Sample-2	homo sapiens	lymph	8Y	not available	SUP-T1	not available	male	childhood T lymphoblastic lymphoma	not available	2	lymph	run 9	proteomic profiling by mass spectrometry	SUPT1_SCX3_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD021272/SUPT1_SCX3_R2.raw	3	3	AC=MS:1000422;NT=HCD	33% NCE	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da	childhood T lymphoblastic lymphoma
PXD021272-Sample-2	homo sapiens	lymph	8Y	not available	SUP-T1	not available	male	childhood T lymphoblastic lymphoma	not available	2	lymph	run 10	proteomic profiling by mass spectrometry	SUPT1_SCX4_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD021272/SUPT1_SCX4_R2.raw	4	4	AC=MS:1000422;NT=HCD	33% NCE	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da	childhood T lymphoblastic lymphoma
