Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[strain]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[sample type]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism]
PXD031829-Sample-1	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 1	proteomic profiling by mass spectrometry	20200713_coreQEP2_BaSt_LC12-19_SA_Orbi3564_tp_Sample1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20200713_coreQEP2_BaSt_LC12-19_SA_Orbi3564_tp_Sample1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-2	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 2	proteomic profiling by mass spectrometry	20200713_coreQEP2_BaSt_LC12-19_SA_Orbi3564_tp_Sample2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20200713_coreQEP2_BaSt_LC12-19_SA_Orbi3564_tp_Sample2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-3	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 3	proteomic profiling by mass spectrometry	20200713_coreQEP2_BaSt_LC12-19_SA_Orbi3564_tp_Sample3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20200713_coreQEP2_BaSt_LC12-19_SA_Orbi3564_tp_Sample3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-4	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 4	proteomic profiling by mass spectrometry	20200713_coreQEP2_BaSt_LC12-19_SA_Orbi3564_tp_Sample4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20200713_coreQEP2_BaSt_LC12-19_SA_Orbi3564_tp_Sample4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-5	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 5	proteomic profiling by mass spectrometry	20200713_coreQEP2_BaSt_LC12-19_SA_Orbi3564_tp_Sample5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20200713_coreQEP2_BaSt_LC12-19_SA_Orbi3564_tp_Sample5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-6	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 6	proteomic profiling by mass spectrometry	20200713_coreQEP2_BaSt_LC12-19_SA_Orbi3564_tp_Sample6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20200713_coreQEP2_BaSt_LC12-19_SA_Orbi3564_tp_Sample6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-7	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 7	proteomic profiling by mass spectrometry	20200714_coreQEP2_NiKr_LC12-19_SA_Orbi3564_phospho_Sample1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20200714_coreQEP2_NiKr_LC12-19_SA_Orbi3564_phospho_Sample1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-8	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 8	proteomic profiling by mass spectrometry	20200714_coreQEP2_NiKr_LC12-19_SA_Orbi3564_phospho_Sample2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20200714_coreQEP2_NiKr_LC12-19_SA_Orbi3564_phospho_Sample2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-9	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 9	proteomic profiling by mass spectrometry	20200714_coreQEP2_NiKr_LC12-19_SA_Orbi3564_phospho_Sample3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20200714_coreQEP2_NiKr_LC12-19_SA_Orbi3564_phospho_Sample3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-10	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 10	proteomic profiling by mass spectrometry	20200714_coreQEP2_NiKr_LC12-19_SA_Orbi3564_phospho_Sample4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20200714_coreQEP2_NiKr_LC12-19_SA_Orbi3564_phospho_Sample4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
