Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism part]
PXD030671-Sample 1	Homo sapiens	cytoplasm	not available	not available	KM12C	not available	not available	non-metastatic CRC	1	tissue	run 1	proteomic profiling by mass spectrometry	CEB_MEB_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/CEB_MEB_F1.raw	1	1	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12C|cytoplasm
PXD030671-Sample 2	Homo sapiens	cytoplasm	not available	not available	KM12SM	not available	not available	liver CRC metastatic	1	tissue	run 1	proteomic profiling by mass spectrometry	CEB_MEB_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/CEB_MEB_F1.raw	1	1	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12SM|cytoplasm
PXD030671-Sample 3	Homo sapiens	cytoplasm	not available	not available	KM12L4a	not available	not available	liver and lung CRC metastatic	1	tissue	run 1	proteomic profiling by mass spectrometry	CEB_MEB_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/CEB_MEB_F1.raw	1	1	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12L4a|cytoplasm
PXD030671-Sample 4	Homo sapiens	cytoplasm	not available	not available	SW480	not available	not available	non-metastatic	1	tissue	run 1	proteomic profiling by mass spectrometry	CEB_MEB_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/CEB_MEB_F1.raw	1	1	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW480|cytoplasm
PXD030671-Sample 5	Homo sapiens	cytoplasm	not available	not available	SW620	not available	not available	lymph nodes CRC metastatic	1	tissue	run 1	proteomic profiling by mass spectrometry	CEB_MEB_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/CEB_MEB_F1.raw	1	1	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW620|cytoplasm
PXD030671-Sample 6	Homo sapiens	membranes	not available	not available	KM12C	not available	not available	non-metastatic CRC	1	tissue	run 1	proteomic profiling by mass spectrometry	CEB_MEB_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/CEB_MEB_F1.raw	1	1	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12C|membranes
PXD030671-Sample 7	Homo sapiens	membranes	not available	not available	KM12SM	not available	not available	liver CRC metastatic	1	tissue	run 1	proteomic profiling by mass spectrometry	CEB_MEB_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/CEB_MEB_F1.raw	1	1	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12SM|membranes
PXD030671-Sample 8	Homo sapiens	membranes	not available	not available	KM12L4a	not available	not available	liver and lung CRC metastatic	1	tissue	run 1	proteomic profiling by mass spectrometry	CEB_MEB_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/CEB_MEB_F1.raw	1	1	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12L4a|membranes
PXD030671-Sample 9	Homo sapiens	membranes	not available	not available	SW480	not available	not available	non-metastatic	1	tissue	run 1	proteomic profiling by mass spectrometry	CEB_MEB_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/CEB_MEB_F1.raw	1	1	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW480|membranes
PXD030671-Sample 10	Homo sapiens	membranes	not available	not available	SW620	not available	not available	lymph nodes CRC metastatic	1	tissue	run 1	proteomic profiling by mass spectrometry	CEB_MEB_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/CEB_MEB_F1.raw	1	1	TMT131N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW620|membranes
