Modification	Mass Shift	dataset01_PSMs	dataset01_percent_PSMs
Sixplex Tandem Mass Tag®	229.162932	15792	63.7100
Carbamylation	43.005814	1668	6.7300
First isotopic peak	1.00235	1466	5.9150
Unannotated mass-shift 101.0662	101.0662	936	3.7760
Unannotated mass-shift 73.0616	73.0616	732	2.9530
None	0.0	544	2.1950
Unannotated mass-shift 213.1662	213.1662	270	1.0890
Unannotated mass-shift 230.1456	230.1456	222	0.8960
Unannotated mass-shift -27.9770	-27.977	111	0.4480
Formylation	27.994915	97	0.3910
Pyro-glu from Q/Loss of ammonia	-17.026549	84	0.3390
Unannotated mass-shift -12.0152	-12.0152	81	0.3270
Unannotated mass-shift 229.2070	229.207	72	0.2900
S-Ethylcystine from Serine	44.008456	64	0.2580
Unannotated mass-shift 30.0278	30.0278	61	0.2460
Unannotated mass-shift 229.1252	229.1252	59	0.2380
Unannotated mass-shift 272.1830	272.183	56	0.2260
Unannotated mass-shift 245.1572	245.1572	55	0.2220
Unannotated mass-shift 229.2434	229.2434	49	0.1980
Unannotated mass-shift -40.0246	-40.0246	47	0.1900
Unannotated mass-shift 102.0836	102.0836	44	0.1780
Succinic anhydride labeling reagent light form (N-term & K)/Methylmalonylation on Serine	100.016044	43	0.1730
Unannotated mass-shift 229.2254	229.2254	42	0.1690
Unannotated mass-shift -13.9702	-13.9702	41	0.1650
Unannotated mass-shift 459.3306	459.3306	40	0.1610
Unannotated mass-shift 211.1510	211.151	39	0.1570
Unannotated mass-shift -13.9580	-13.958	39	0.1570
Unannotated mass-shift -26.0072	-26.0072	36	0.1450
Unannotated mass-shift 261.0776	261.0776	36	0.1450
Unannotated mass-shift 44.0464	44.0464	33	0.1330
Unannotated mass-shift 229.2600	229.26	33	0.1330
Second isotopic peak	2.0047	29	0.1170
Unannotated mass-shift -55.0266	-55.0266	26	0.1040
Unannotated mass-shift 43.0310	43.031	24	0.0970
Unannotated mass-shift 214.1918	214.1918	21	0.0840
Unannotated mass-shift -55.9812	-55.9812	21	0.0840
Unannotated mass-shift 245.1684	245.1684	18	0.0730
Unannotated mass-shift 229.2762	229.2762	17	0.0690
Unannotated mass-shift 56.1120	56.112	16	0.0650
Unannotated mass-shift -40.0102	-40.0102	16	0.0650
Unannotated mass-shift 229.1068	229.1068	15	0.0610
Unannotated mass-shift 261.1606	261.1606	13	0.0520
Modification by hydroxylated mechloroethamine (HN-2)	101.084064	13	0.0520
Unannotated mass-shift 229.0944	229.0944	13	0.0520
Unannotated mass-shift 229.3190	229.319	11	0.0440
Sodium adduct	21.981943	11	0.0440
reduced 4-Hydroxynonenal	158.13068	11	0.0440
Unannotated mass-shift 102.0486	102.0486	10	0.0400
Unannotated mass-shift 82.0086	82.0086	10	0.0400
Unannotated mass-shift 116.0788	116.0788	10	0.0400
