Modification	Mass Shift	dataset01_PSMs	dataset01_percent_PSMs
Sixplex Tandem Mass Tag®	229.162932	6693	69.9960
Unannotated mass-shift 101.0652	101.0652	638	6.6720
None	0.0	340	3.5560
Unannotated mass-shift 230.1436	230.1436	242	2.5300
Unannotated mass-shift 73.0588	73.0588	177	1.8510
Unannotated mass-shift 229.1806	229.1806	136	1.4220
First isotopic peak	1.00235	96	1.0040
Unannotated mass-shift 213.1660	213.166	94	0.9830
Succinic anhydride labeling reagent light form (N-term & K)/Methylmalonylation on Serine	100.016044	74	0.7740
Unannotated mass-shift 245.1582	245.1582	52	0.5440
Unannotated mass-shift 102.0486	102.0486	49	0.5130
Isotopic peak error	-1.00235	49	0.5120
Unannotated mass-shift -12.0192	-12.0192	48	0.5020
Unannotated mass-shift 0.0170	0.017	41	0.4290
Unannotated mass-shift 25.9782	25.9782	39	0.4080
Unannotated mass-shift -54.9990	-54.999	37	0.3870
Pyro-glu from Q/Loss of ammonia	-17.026549	30	0.3140
Unannotated mass-shift 30.0274	30.0274	26	0.2720
Unannotated mass-shift 14.0332	14.0332	23	0.2410
Unannotated mass-shift -40.0254	-40.0254	21	0.2200
carboxyethyl/Dihydroxy methylglyoxal adduct/Ethoxyformylation	72.021129	18	0.1880
Unannotated mass-shift -27.9754	-27.9754	18	0.1880
Unannotated mass-shift 244.1720	244.172	16	0.1670
Unannotated mass-shift -55.0358	-55.0358	16	0.1670
Propionaldehyde +40	40.0313	15	0.1570
Unannotated mass-shift -140.0766	-140.0766	15	0.1570
Unannotated mass-shift -83.0550	-83.055	11	0.1150
Addition of T	101.04768371582031	11	0.1150
Unannotated mass-shift -23.9936	-23.9936	10	0.1050
Unannotated mass-shift 172.1356	172.1356	10	0.1050
