source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[cell line]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	Material Type	technology type	assay name	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[label]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[disease]
PXD000966-Sample-1	Homo sapiens	breat	not available	not available	not available	not available	not available	Female	breast cancer	not available	1	tissue	proteomic profiling by mass spectrometer	run 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000966/CPTAC_CompRef_00_iTRAQ_01_2Feb12_Cougar_11-10-09.raw	1	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Anywhere;AC=Unimod:214;TA=K;MT=Variable	20 ppm	0.1 Da	CPTAC_CompRef_00_iTRAQ_01_2Feb12_Cougar_11-10-09.raw	breat cancer
PXD000966-Sample-1	Homo sapiens	breat	not available	not available	not available	not available	not available	Female	breast cancer	not available	1	tissue	proteomic profiling by mass spectrometer	run 2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000966/CPTAC_CompRef_00_iTRAQ_02_2Feb12_Cougar_11-10-11.raw	2	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Anywhere;AC=Unimod:214;TA=K;MT=Variable	20 ppm	0.1 Da	CPTAC_CompRef_00_iTRAQ_02_2Feb12_Cougar_11-10-11.raw	breat cancer
PXD000966-Sample-1	Homo sapiens	breat	not available	not available	not available	not available	not available	Female	breast cancer	not available	1	tissue	proteomic profiling by mass spectrometer	run 3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000966/CPTAC_CompRef_00_iTRAQ_03_2Feb12_Cougar_11-10-09.raw	3	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Anywhere;AC=Unimod:214;TA=K;MT=Variable	20 ppm	0.1 Da	CPTAC_CompRef_00_iTRAQ_03_2Feb12_Cougar_11-10-09.raw	breat cancer
PXD000966-Sample-1	Homo sapiens	breat	not available	not available	not available	not available	not available	Female	breast cancer	not available	1	tissue	proteomic profiling by mass spectrometer	run 4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000966/CPTAC_CompRef_00_iTRAQ_04_2Feb12_Cougar_11-10-11.raw	4	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Anywhere;AC=Unimod:214;TA=K;MT=Variable	20 ppm	0.1 Da	CPTAC_CompRef_00_iTRAQ_04_2Feb12_Cougar_11-10-11.raw	breat cancer
PXD000966-Sample-1	Homo sapiens	breat	not available	not available	not available	not available	not available	Female	breast cancer	not available	1	tissue	proteomic profiling by mass spectrometer	run 5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000966/CPTAC_CompRef_00_iTRAQ_05_2Feb12_Cougar_11-10-09.raw	5	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Anywhere;AC=Unimod:214;TA=K;MT=Variable	20 ppm	0.1 Da	CPTAC_CompRef_00_iTRAQ_05_2Feb12_Cougar_11-10-09.raw	breat cancer
PXD000966-Sample-1	Homo sapiens	breat	not available	not available	not available	not available	not available	Female	breast cancer	not available	1	tissue	proteomic profiling by mass spectrometer	run 6	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000966/CPTAC_CompRef_00_iTRAQ_06_2Feb12_Cougar_11-10-11.raw	6	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Anywhere;AC=Unimod:214;TA=K;MT=Variable	20 ppm	0.1 Da	CPTAC_CompRef_00_iTRAQ_06_2Feb12_Cougar_11-10-11.raw	breat cancer
PXD000966-Sample-1	Homo sapiens	breat	not available	not available	not available	not available	not available	Female	breast cancer	not available	1	tissue	proteomic profiling by mass spectrometer	run 7	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000966/CPTAC_CompRef_00_iTRAQ_07_2Feb12_Cougar_11-10-09.raw	7	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Anywhere;AC=Unimod:214;TA=K;MT=Variable	20 ppm	0.1 Da	CPTAC_CompRef_00_iTRAQ_07_2Feb12_Cougar_11-10-09.raw	breat cancer
PXD000966-Sample-1	Homo sapiens	breat	not available	not available	not available	not available	not available	Female	breast cancer	not available	1	tissue	proteomic profiling by mass spectrometer	run 8	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000966/CPTAC_CompRef_00_iTRAQ_08_2Feb12_Cougar_11-10-11.raw	8	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Anywhere;AC=Unimod:214;TA=K;MT=Variable	20 ppm	0.1 Da	CPTAC_CompRef_00_iTRAQ_08_2Feb12_Cougar_11-10-11.raw	breat cancer
PXD000966-Sample-1	Homo sapiens	breat	not available	not available	not available	not available	not available	Female	breast cancer	not available	1	tissue	proteomic profiling by mass spectrometer	run 9	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000966/CPTAC_CompRef_00_iTRAQ_09_2Feb12_Cougar_11-10-09.raw	9	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Anywhere;AC=Unimod:214;TA=K;MT=Variable	20 ppm	0.1 Da	CPTAC_CompRef_00_iTRAQ_09_2Feb12_Cougar_11-10-09.raw	breat cancer
PXD000966-Sample-1	Homo sapiens	breat	not available	not available	not available	not available	not available	Female	breast cancer	not available	1	tissue	proteomic profiling by mass spectrometer	run 10	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000966/CPTAC_CompRef_00_iTRAQ_10_2Feb12_Cougar_11-10-11.raw	10	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Anywhere;AC=Unimod:214;TA=K;MT=Variable	20 ppm	0.1 Da	CPTAC_CompRef_00_iTRAQ_10_2Feb12_Cougar_11-10-11.raw	breat cancer
