source Name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell line]	characteristics[individual]	assay name	comment[label]	comment[technich replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	Material Type	factor value[cell line]
PXD008222-Sample 30	Homo sapiens	breast	adult	epithelial	Caucasian	74Y	female	breast carcinoma	1	BT20	not available	run 161	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02413.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02413.raw	cell	BT20
PXD008222-Sample 30	Homo sapiens	breast	adult	epithelial	Caucasian	74Y	female	breast carcinoma	1	BT20	not available	run 162	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02414.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02414.raw	cell	BT20
PXD008222-Sample 30	Homo sapiens	breast	adult	epithelial	Caucasian	74Y	female	breast carcinoma	1	BT20	not available	run 163	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02415.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02415.raw	cell	BT20
PXD008222-Sample 30	Homo sapiens	breast	adult	epithelial	Caucasian	74Y	female	breast carcinoma	1	BT20	not available	run 164	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02416.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02416.raw	cell	BT20
PXD008222-Sample 30	Homo sapiens	breast	adult	epithelial	Caucasian	74Y	female	breast carcinoma	1	BT20	not available	run 165	AC=MS:1002038;NT=label free sample	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02417.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02417.raw	cell	BT20
PXD008222-Sample 42	Homo sapiens	breast	adult	epithelial	Caucasian	74Y	female	breast carcinoma	2	BT20	not available	run 221	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02820.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02820.raw	cell	BT20
PXD008222-Sample 42	Homo sapiens	breast	adult	epithelial	Caucasian	74Y	female	breast carcinoma	2	BT20	not available	run 222	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02821.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02821.raw	cell	BT20
PXD008222-Sample 42	Homo sapiens	breast	adult	epithelial	Caucasian	74Y	female	breast carcinoma	2	BT20	not available	run 223	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02822.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02822.raw	cell	BT20
PXD008222-Sample 42	Homo sapiens	breast	adult	epithelial	Caucasian	74Y	female	breast carcinoma	2	BT20	not available	run 224	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02823.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02823.raw	cell	BT20
PXD008222-Sample 42	Homo sapiens	breast	adult	epithelial	Caucasian	74Y	female	breast carcinoma	2	BT20	not available	run 225	AC=MS:1002038;NT=label free sample	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02824.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02824.raw	cell	BT20
