source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ghost]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[MS2 mass analyzer]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD009258-Sample-1	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Er_Ghosts_SCX1_F23825	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Er_Ghosts_SCX1_F23825.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Er_Ghosts_SCX1_F23825.raw	1	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-2	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Er_Ghosts_SCX2_F23826	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Er_Ghosts_SCX2_F23826.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Er_Ghosts_SCX2_F23826.raw	2	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-3	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Er_Ghosts_SCX3_F23827	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Er_Ghosts_SCX3_F23827.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Er_Ghosts_SCX3_F23827.raw	3	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-4	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Er_Ghosts_SCX4_F23828	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Er_Ghosts_SCX4_F23828.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Er_Ghosts_SCX4_F23828.raw	4	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-5	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Er_Ghosts_SCX5_F23829	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Er_Ghosts_SCX5_F23829.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Er_Ghosts_SCX5_F23829.raw	5	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-6	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Er_SCX1_F23801	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Er_SCX1_F23801.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Er_SCX1_F23801.raw	1	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-7	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Er_SCX2_F23802	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Er_SCX2_F23802.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Er_SCX2_F23802.raw	2	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-8	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Er_SCX3_F23803	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Er_SCX3_F23803.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Er_SCX3_F23803.raw	3	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-9	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Er_SCX4_F23804	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Er_SCX4_F23804.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Er_SCX4_F23804.raw	4	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-10	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Er_SCX5_F23805_171201040058	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Er_SCX5_F23805_171201040058.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Er_SCX5_F23805_171201040058.raw	5	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
