source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[origin]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[compensation voltage]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD026128-Sample 1	Homo Sapiens	Blood	neutrophils	peripheral blood	1	not available	not available	not available	not available	normal	1	run 1	proteomic profiling by mass spectrometer	081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1FAIMS_CV_10_016.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026128/081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1FAIMS_CV_10_016.raw	1	10 V	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026128-Sample 2	Homo Sapiens	Blood	neutrophils	peripheral blood	1	not available	not available	not available	not available	normal	1	run 2	proteomic profiling by mass spectrometer	081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-100_015.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026128/081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-100_015.raw	1	-100 V	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026128-Sample 3	Homo Sapiens	Blood	neutrophils	peripheral blood	1	not available	not available	not available	not available	normal	1	run 3	proteomic profiling by mass spectrometer	081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-10_018.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026128/081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-10_018.raw	1	-10 V	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026128-Sample 4	Homo Sapiens	Blood	neutrophils	peripheral blood	1	not available	not available	not available	not available	normal	1	run 4	proteomic profiling by mass spectrometer	081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-110_013.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026128/081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-110_013.raw	1	-110 V	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026128-Sample 5	Homo Sapiens	Blood	neutrophils	peripheral blood	1	not available	not available	not available	not available	normal	1	run 5	proteomic profiling by mass spectrometer	081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-120_010.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026128/081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-120_010.raw	1	-120 V	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026128-Sample 6	Homo Sapiens	Blood	neutrophils	peripheral blood	1	not available	not available	not available	not available	normal	1	run 6	proteomic profiling by mass spectrometer	081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-20_005.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026128/081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-20_005.raw	1	-20 V	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026128-Sample 7	Homo Sapiens	Blood	neutrophils	peripheral blood	1	not available	not available	not available	not available	normal	1	run 7	proteomic profiling by mass spectrometer	081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-30_020.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026128/081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-30_020.raw	1	-30 V	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026128-Sample 8	Homo Sapiens	Blood	neutrophils	peripheral blood	1	not available	not available	not available	not available	normal	1	run 8	proteomic profiling by mass spectrometer	081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-40_007.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026128/081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-40_007.raw	1	-40 V	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026128-Sample 9	Homo Sapiens	Blood	neutrophils	peripheral blood	1	not available	not available	not available	not available	normal	1	run 9	proteomic profiling by mass spectrometer	081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-50_019.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026128/081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-50_019.raw	1	-50 V	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026128-Sample 10	Homo Sapiens	Blood	neutrophils	peripheral blood	1	not available	not available	not available	not available	normal	1	run 10	proteomic profiling by mass spectrometer	081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-60_009.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026128/081018_RVG262_PGAFF_RP4H_Neutros_GelFREE_8pF1_FAIMS_CV_-60_009.raw	1	-60 V	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
