source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[individual]	Material Type	assay name	comment[file uri]	comment[Fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	factor value[cell line]
PMID22068331-Sample-11	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	11	adult	not available	cell line	run 1	https://www.ebi.ac.uk/pride/archive/20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECA_SAXpH_03.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Lys-C/P;AC=MS:1001310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	1	20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECA_SAXpH_03.raw	HeLa
PMID22068331-Sample-11	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	11	adult	not available	cell line	run 2	https://www.ebi.ac.uk/pride/archive/20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECA_SAXpH_04.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Lys-C/P;AC=MS:1001310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	2	20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECA_SAXpH_04.raw	HeLa
PMID22068331-Sample-11	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	11	adult	not available	cell line	run 3	https://www.ebi.ac.uk/pride/archive/20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECA_SAXpH_05.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Lys-C/P;AC=MS:1001310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	3	20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECA_SAXpH_05.raw	HeLa
PMID22068331-Sample-11	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	11	adult	not available	cell line	run 4	https://www.ebi.ac.uk/pride/archive/20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECA_SAXpH_06.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Lys-C/P;AC=MS:1001310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	4	20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECA_SAXpH_06.raw	HeLa
PMID22068331-Sample-11	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	11	adult	not available	cell line	run 5	https://www.ebi.ac.uk/pride/archive/20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECA_SAXpH_08.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Lys-C/P;AC=MS:1001310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	5	20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECA_SAXpH_08.raw	HeLa
PMID22068331-Sample-11	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	11	adult	not available	cell line	run 6	https://www.ebi.ac.uk/pride/archive/20090806_Velos1_NaNa_SA_10k_Hela_LysC_SECA_SAXpH_11.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Lys-C/P;AC=MS:1001310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	6	20090806_Velos1_NaNa_SA_10k_Hela_LysC_SECA_SAXpH_11.raw	HeLa
PMID22068331-Sample-12	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	12	adult	not available	cell line	run 7	https://www.ebi.ac.uk/pride/archive/20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECB_SAXpH_03.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Lys-C/P;AC=MS:1001310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	1	20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECB_SAXpH_03.raw	HeLa
PMID22068331-Sample-12	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	12	adult	not available	cell line	run 8	https://www.ebi.ac.uk/pride/archive/20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECB_SAXpH_04_090918110947.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Lys-C/P;AC=MS:1001310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	2	20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECB_SAXpH_04_090918110947.raw	HeLa
PMID22068331-Sample-12	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	12	adult	not available	cell line	run 9	https://www.ebi.ac.uk/pride/archive/20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECB_SAXpH_05.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Lys-C/P;AC=MS:1001310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	3	20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECB_SAXpH_05.raw	HeLa
PMID22068331-Sample-12	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	12	adult	not available	cell line	run 10	https://www.ebi.ac.uk/pride/archive/20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECB_SAXpH_06.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Lys-C/P;AC=MS:1001310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	4	20090805_Velos1_NaNa_SA_10k_Hela_LysC_SECB_SAXpH_06.raw	HeLa
