source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	comment[file uri]	comment[Fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	comment[fraction identifier]	comment[technical replicate]	factor value[cell line]
PXD001305-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001305/20140418_QE7_UPLC9_RJC_DEV_HeLaFrac1_02.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	20140418_QE7_UPLC9_RJC_DEV_HeLaFrac1_02.raw	1	1	HeLa
PXD001305-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 13	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001305/20140418_QE7_UPLC9_RJC_DEV_HeLaFrac2_02.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	20140418_QE7_UPLC9_RJC_DEV_HeLaFrac2_02.raw	2	1	HeLa
PXD001305-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 15	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001305/20140418_QE7_UPLC9_RJC_DEV_HeLaFrac3_02.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	20140418_QE7_UPLC9_RJC_DEV_HeLaFrac3_02.raw	3	1	HeLa
PXD001305-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 17	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001305/20140418_QE7_UPLC9_RJC_DEV_HeLaFrac4_02.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	20140418_QE7_UPLC9_RJC_DEV_HeLaFrac4_02.raw	4	1	HeLa
PXD001305-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 19	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001305/20140418_QE7_UPLC9_RJC_DEV_HeLaFrac5_02.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	20140418_QE7_UPLC9_RJC_DEV_HeLaFrac5_02.raw	5	1	HeLa
PXD001305-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 21	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001305/20140418_QE7_UPLC9_RJC_DEV_HeLaFrac6_02.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	20140418_QE7_UPLC9_RJC_DEV_HeLaFrac6_02.raw	6	1	HeLa
PXD001305-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 23	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001305/20140418_QE7_UPLC9_RJC_DEV_HeLaFrac7_02.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	20140418_QE7_UPLC9_RJC_DEV_HeLaFrac7_02.raw	7	1	HeLa
PXD001305-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 25	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001305/20140418_QE7_UPLC9_RJC_DEV_HeLaFrac8_02.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	20140418_QE7_UPLC9_RJC_DEV_HeLaFrac8_02.raw	8	1	HeLa
PXD001305-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 27	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001305/20140418_QE7_UPLC9_RJC_DEV_HeLaFrac9_02.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	20140418_QE7_UPLC9_RJC_DEV_HeLaFrac9_02.raw	9	1	HeLa
PXD001305-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001305/20140418_QE7_UPLC9_RJC_DEV_HeLaFrac10_02.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	20140418_QE7_UPLC9_RJC_DEV_HeLaFrac10_02.raw	10	1	HeLa
