source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	comment[file uri]	comment[fraction identifier]	comment[Fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD009273-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y160111_001.mzML	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.2 Da	50 ppm	1	yanliu_Y160111_001.mzML	HeLa
PXD009273-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y160111_002.mzML	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.2 Da	50 ppm	1	yanliu_Y160111_002.mzML	HeLa
PXD009273-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y160111_003.mzML	3	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.2 Da	50 ppm	1	yanliu_Y160111_003.mzML	HeLa
PXD009273-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y160111_004.mzML	4	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.2 Da	50 ppm	1	yanliu_Y160111_004.mzML	HeLa
PXD009273-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y160111_005.mzML	5	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.2 Da	50 ppm	1	yanliu_Y160111_005.mzML	HeLa
PXD009273-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 6	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y160111_006.mzML	6	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.2 Da	50 ppm	1	yanliu_Y160111_006.mzML	HeLa
PXD009273-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 7	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y160111_007.mzML	7	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.2 Da	50 ppm	1	yanliu_Y160111_007.mzML	HeLa
PXD009273-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 8	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y160111_008.mzML	8	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.2 Da	50 ppm	1	yanliu_Y160111_008.mzML	HeLa
PXD009273-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 9	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y160111_009.mzML	9	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.2 Da	50 ppm	1	yanliu_Y160111_009.mzML	HeLa
PXD009273-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 10	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y160111_010.mzML	10	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.2 Da	50 ppm	1	yanliu_Y160111_010.mzML	HeLa
