source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[individual]	Material Type	assay name	comment[file uri]	comment[proteomics data acquisition method]	comment[fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[fraction identifier]	comment[MS1 scan range]	comment[MS2 scan range]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD009273-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	1	not available	cell line	run 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y151205_020_SW.mzML	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	100m/z-1250m/z	100m/z-1250m/z	1	yanliu_Y151205_020_SW.mzML	HeLa
PXD009273-Sample-2	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	2	not available	cell line	run 2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y151205_002_SW.mzML	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	100m/z-1250m/z	100m/z-1250m/z	1	yanliu_Y151205_002_SW.mzML	HeLa
PXD009273-Sample-3	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	3	not available	cell line	run 3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y151205_014_SW.mzML	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	100m/z-1250m/z	100m/z-1250m/z	1	yanliu_Y151205_014_SW.mzML	HeLa
PXD009273-Sample-4	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	4	not available	cell line	run 4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y151205_036_SW.mzML	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	100m/z-1250m/z	100m/z-1250m/z	1	yanliu_Y151205_036_SW.mzML	HeLa
PXD009273-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	5	not available	cell line	run 5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y151205_041_SW.mzML	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	100m/z-1250m/z	100m/z-1250m/z	1	yanliu_Y151205_041_SW.mzML	HeLa
PXD009273-Sample-6	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	6	not available	cell line	run 6	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y151205_037_SW.mzML	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	100m/z-1250m/z	100m/z-1250m/z	1	yanliu_Y151205_037_SW.mzML	HeLa
PXD009273-Sample-7	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	7	not available	cell line	run 7	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y151205_023_SW.mzML	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	100m/z-1250m/z	100m/z-1250m/z	1	yanliu_Y151205_023_SW.mzML	HeLa
PXD009273-Sample-8	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	8	not available	cell line	run 8	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y151205_008_SW.mzML	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	100m/z-1250m/z	100m/z-1250m/z	1	yanliu_Y151205_008_SW.mzML	HeLa
PXD009273-Sample-9	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	9	not available	cell line	run 9	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y151205_017_SW.mzML	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	100m/z-1250m/z	100m/z-1250m/z	1	yanliu_Y151205_017_SW.mzML	HeLa
PXD009273-Sample-10	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	10	not available	cell line	run 10	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009273/yanliu_Y151205_005_SW.mzML	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	100m/z-1250m/z	100m/z-1250m/z	1	yanliu_Y151205_005_SW.mzML	HeLa
