source name	characteristics[organism]	characteristics[cell line]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	factor value[cell line]
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run1	proteomic profiling by mass spectrometry	191003_Hela_11660-01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-01.raw	1	1	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run2	proteomic profiling by mass spectrometry	191003_Hela_11660-02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-02.raw	1	2	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run3	proteomic profiling by mass spectrometry	191003_Hela_11660-03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-03.raw	1	3	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run4	proteomic profiling by mass spectrometry	191003_Hela_11660-04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-04.raw	1	4	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run5	proteomic profiling by mass spectrometry	191003_Hela_11660-05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-05.raw	1	5	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run6	proteomic profiling by mass spectrometry	191003_Hela_11660-06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-06.raw	1	6	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run7	proteomic profiling by mass spectrometry	191003_Hela_11660-07.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-07.raw	1	7	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run8	proteomic profiling by mass spectrometry	191003_Hela_11660-08.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-08.raw	1	8	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run9	proteomic profiling by mass spectrometry	191003_Hela_11660-09.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-09.raw	1	9	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run10	proteomic profiling by mass spectrometry	191003_Hela_11660-10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-10.raw	1	10	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run11	proteomic profiling by mass spectrometry	191003_Hela_11660-11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-11.raw	1	11	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run12	proteomic profiling by mass spectrometry	191003_Hela_11660-12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-12.raw	1	12	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run13	proteomic profiling by mass spectrometry	191003_Hela_11660-13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-13.raw	1	13	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run14	proteomic profiling by mass spectrometry	191003_Hela_11660-14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-14.raw	1	14	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run15	proteomic profiling by mass spectrometry	191003_Hela_11660-15.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-15.raw	1	15	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run16	proteomic profiling by mass spectrometry	191003_Hela_11660-16.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-16.raw	1	16	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run17	proteomic profiling by mass spectrometry	191003_Hela_11660-17.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-17.raw	1	17	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run18	proteomic profiling by mass spectrometry	191003_Hela_11660-18.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-18.raw	1	18	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run19	proteomic profiling by mass spectrometry	191003_Hela_11660-19.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-19.raw	1	19	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run20	proteomic profiling by mass spectrometry	191003_Hela_11660-20.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-20.raw	1	20	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run21	proteomic profiling by mass spectrometry	191003_Hela_11660-21.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-21.raw	1	21	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run22	proteomic profiling by mass spectrometry	191003_Hela_11660-22.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-22.raw	1	22	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run23	proteomic profiling by mass spectrometry	191003_Hela_11660-23.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-23.raw	1	23	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
PXD026750-Sample-1	Homo sapiens	Hela	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run24	proteomic profiling by mass spectrometry	191003_Hela_11660-24.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/191003_Hela_11660-24.raw	1	24	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	Hela
