source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	comment[file uri]	comment[fraction identifier]	comment[Fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[sample preparation]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD030306-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 34	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_A5_EASY_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	EasyPep_Thermo Scientific	1	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_A5_EASY_iRT_500ng.raw	HeLa
PXD030306-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 40	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_B5_EASY_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	EasyPep_Thermo Scientific	2	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_B5_EASY_iRT_500ng.raw	HeLa
PXD030306-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 46	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_C5_EASY_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	EasyPep_Thermo Scientific	3	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_C5_EASY_iRT_500ng.raw	HeLa
PXD030306-Sample-2	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	2	cell line	run 22	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_A2_FASP_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	Filter-Aided Sample Preparation (FASP)	1	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_A2_FASP_iRT_500ng.raw	HeLa
PXD030306-Sample-2	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	2	cell line	run 37	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_B2_FASP_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	Filter-Aided Sample Preparation (FASP)	2	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_B2_FASP_iRT_500ng.raw	HeLa
PXD030306-Sample-2	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	2	cell line	run 43	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_C2_FASP_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	Filter-Aided Sample Preparation (FASP)	3	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_C2_FASP_iRT_500ng.raw	HeLa
PXD030306-Sample-3	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	3	cell line	run 6	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_02_LYS-GH_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, GuanidinHCL buffer,no precipitation step"	1	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_02_LYS-GH_iRT_500ng.raw	HeLa
PXD030306-Sample-3	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	3	cell line	run 3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_12_LYS-GH_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, GuanidinHCL buffer,no precipitation step"	2	20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_12_LYS-GH_iRT_500ng.raw	HeLa
PXD030306-Sample-3	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	3	cell line	run 24	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_22_LYS-GH_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, GuanidinHCL buffer,no precipitation step"	3	20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_22_LYS-GH_iRT_500ng.raw	HeLa
PXD030306-Sample-4	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	4	cell line	run 12	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_05_CMP-GH_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, GuanidinHCL buffer, chlorophorm methanol precipitation"	1	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_05_CMP-GH_iRT_500ng.raw	HeLa
