source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	Material Type	assay name	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 1	AC=MS:1002038;NT=label free sample	HCCLM3_R1_F1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R1_F1.raw	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 2	AC=MS:1002038;NT=label free sample	HCCLM3_R1_F2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R1_F2.raw	1	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 3	AC=MS:1002038;NT=label free sample	HCCLM3_R1_F3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R1_F3.raw	1	3	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 4	AC=MS:1002038;NT=label free sample	HCCLM3_R1_F4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R1_F4.raw	1	4	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 5	AC=MS:1002038;NT=label free sample	HCCLM3_R1_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R1_F5.raw	1	5	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 6	AC=MS:1002038;NT=label free sample	HCCLM3_R1_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R1_F6.raw	1	6	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 7	AC=MS:1002038;NT=label free sample	HCCLM3_R2_F1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R2_F1.raw	2	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 8	AC=MS:1002038;NT=label free sample	HCCLM3_R2_F2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R2_F2.raw	2	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 9	AC=MS:1002038;NT=label free sample	HCCLM3_R2_F3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R2_F3.raw	2	3	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 10	AC=MS:1002038;NT=label free sample	HCCLM3_R2_F4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R2_F4.raw	2	4	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
