# Best Performing Samples
# Cluster: 0
# Total Samples: 4318
# Format: Sample_ID, Peptide_Sequences_Identified

2019_05_20_09_41_Q-Exactive-HF-X-Orbitrap_6023, 54316
2019_07_12_00_52_Q-Exactive-HF-X-Orbitrap_6071, 53615
2019_06_12_16_30_Q-Exactive-HF-X-Orbitrap_6025, 53278
2019_10_17_19_56_Q-Exactive-HF-X-Orbitrap_6023, 53216
2019_10_16_15_09_Q-Exactive-HF-X-Orbitrap_6043, 53153
2019_06_03_21_59_Q-Exactive-HF-X-Orbitrap_6078, 52936
2019_10_17_17_35_Q-Exactive-HF-X-Orbitrap_6023, 52533
2019_10_21_18_11_Q-Exactive-HF-X-Orbitrap_6044, 52481
2019_10_22_13_29_Q-Exactive-HF-X-Orbitrap_6043, 52362
2019_05_21_13_44_Q-Exactive-HF-X-Orbitrap_6023, 52098
2019_11_26_16_25_Q-Exactive-HF-X-Orbitrap_6070, 52020
2019_07_13_01_02_Q-Exactive-HF-X-Orbitrap_6071, 51825
2019_10_15_16_14_Q-Exactive-HF-X-Orbitrap_6025, 51759
2019_10_10_13_33_Q-Exactive-HF-X-Orbitrap_6043, 51479
2019_10_26_00_24_Q-Exactive-HF-X-Orbitrap_6028, 51398
2019_10_25_19_34_Q-Exactive-HF-X-Orbitrap_6028, 51171
2019_11_26_13_30_Q-Exactive-HF-X-Orbitrap_6070, 51157
2019_07_29_17_06_Q-Exactive-HF-X-Orbitrap_6071, 51149
2019_07_22_20_11_Q-Exactive-HF-X-Orbitrap_6022, 51078
2019_05_27_12_23_Q-Exactive-HF-X-Orbitrap_6023, 51050
2019_05_02_17_16_Q-Exactive-HF-X-Orbitrap_6043, 50850
2019_05_28_17_09_Q-Exactive-HF-X-Orbitrap_6023, 50764
2019_09_19_07_07_Q-Exactive-HF-X-Orbitrap_6028, 50725
2019_09_30_19_56_Q-Exactive-HF-X-Orbitrap_6028, 50653
2019_09_18_21_14_Q-Exactive-HF-X-Orbitrap_6028, 50615
2019_11_20_22_41_Q-Exactive-HF-X-Orbitrap_6070, 50557
2019_08_19_21_38_Q-Exactive-HF-X-Orbitrap_6070, 50450
2019_09_18_16_18_Q-Exactive-HF-X-Orbitrap_6028, 50381
2019_07_01_17_01_Q-Exactive-HF-X-Orbitrap_6013, 50330
2019_05_24_14_59_Q-Exactive-HF-X-Orbitrap_6078, 50206
2019_07_08_16_20_Q-Exactive-HF-X-Orbitrap_6070, 50171
2019_08_13_19_11_Q-Exactive-HF-X-Orbitrap_6025, 50169
2019_08_14_17_53_Q-Exactive-HF-X-Orbitrap_6044, 50157
2019_09_18_10_07_Q-Exactive-HF-X-Orbitrap_6028, 50141
2019_08_05_20_39_Q-Exactive-HF-X-Orbitrap_6023, 50075
2019_10_07_19_53_Q-Exactive-HF-X-Orbitrap_6044, 50071
2019_08_19_17_38_Q-Exactive-HF-X-Orbitrap_6023, 50045
2019_09_19_02_10_Q-Exactive-HF-X-Orbitrap_6028, 50016
2019_09_03_04_42_Q-Exactive-HF-X-Orbitrap_6071, 49963
2019_08_28_13_10_Q-Exactive-HF-X-Orbitrap_6044, 49959
2019_05_28_11_22_Q-Exactive-HF-X-Orbitrap_6023, 49925
2019_06_28_12_31_Q-Exactive-HF-X-Orbitrap_6324, 49918
2019_10_20_15_19_Q-Exactive-HF-X-Orbitrap_6013, 49913
2019_08_18_14_59_Q-Exactive-HF-X-Orbitrap_6043, 49859
2018_02_27_18_24_Q-Exactive-HF-X-Orbitrap_6016, 49826
2020_01_20_15_10_Q-Exactive-HF-X-Orbitrap_6070, 49823
2019_10_25_14_45_Q-Exactive-HF-X-Orbitrap_6028, 49783
2019_09_10_22_18_Q-Exactive-HF-X-Orbitrap_6070, 49754
2019_10_08_01_03_Q-Exactive-HF-X-Orbitrap_6025, 49707
2019_02_07_18_16_Q-Exactive-HF-X-Orbitrap_6073, 49686
2019_07_24_14_23_Q-Exactive-HF-X-Orbitrap_6043, 49666
2019_10_08_17_07_Q-Exactive-HF-X-Orbitrap_6028, 49656
2019_08_31_05_36_Q-Exactive-HF-X-Orbitrap_6071, 49624
2019_10_21_22_54_Q-Exactive-HF-X-Orbitrap_6022, 49588
2019_08_20_18_11_Q-Exactive-HF-X-Orbitrap_6043, 49536
2019_09_22_11_09_Q-Exactive-HF-X-Orbitrap_6070, 49522
2019_10_14_22_21_Q-Exactive-HF-X-Orbitrap_6044, 49509
2019_05_21_11_42_Q-Exactive-HF-X-Orbitrap_6025, 49472
2019_09_24_10_08_Q-Exactive-HF-X-Orbitrap_6028, 49428
2019_10_01_14_57_Q-Exactive-HF-X-Orbitrap_6044, 49411
2019_10_24_11_33_Q-Exactive-HF-X-Orbitrap_6023, 49383
2019_09_11_01_14_Q-Exactive-HF-X-Orbitrap_6070, 49339
2019_08_13_13_08_Q-Exactive-HF-X-Orbitrap_6043, 49338
2019_08_06_15_57_Q-Exactive-HF-X-Orbitrap_6013, 49338
2015_01_01_18_27_Q-Exactive-HF-Orbitrap_206, 49331
2019_09_27_15_26_Q-Exactive-HF-X-Orbitrap_6013, 49325
2019_07_05_12_41_Q-Exactive-HF-X-Orbitrap_6324, 49318
2019_09_11_04_09_Q-Exactive-HF-X-Orbitrap_6070, 49299
2019_08_27_22_55_Q-Exactive-HF-X-Orbitrap_6028, 49297
2019_11_21_01_38_Q-Exactive-HF-X-Orbitrap_6070, 49292
2019_09_03_01_32_Q-Exactive-HF-X-Orbitrap_6071, 49287
2019_07_24_18_55_Q-Exactive-HF-X-Orbitrap_6071, 49257
2019_07_23_12_06_Q-Exactive-HF-X-Orbitrap_6324, 49231
2019_08_09_12_41_Q-Exactive-HF-X-Orbitrap_6043, 49228
2019_10_16_00_48_Q-Exactive-HF-X-Orbitrap_6043, 49214
2019_05_30_13_23_Q-Exactive-HF-X-Orbitrap_6022, 49207
2019_08_06_15_05_Q-Exactive-HF-X-Orbitrap_6044, 49201
2019_05_11_16_46_Q-Exactive-HF-X-Orbitrap_6028, 49195
2019_06_29_14_48_Q-Exactive-HF-X-Orbitrap_6022, 49106
2019_09_09_16_28_Q-Exactive-HF-X-Orbitrap_6025, 49070
2019_08_09_21_36_Q-Exactive-HF-X-Orbitrap_6044, 49040
2019_07_10_11_35_Q-Exactive-HF-X-Orbitrap_6071, 49039
2019_04_23_22_02_Q-Exactive-HF-X-Orbitrap_6043, 49033
2019_06_18_14_52_Q-Exactive-HF-X-Orbitrap_6028, 49017
2019_10_23_20_29_Q-Exactive-HF-X-Orbitrap_6025, 48971
2019_05_16_18_33_Q-Exactive-HF-X-Orbitrap_6028, 48967
2019_09_12_04_32_Q-Exactive-HF-X-Orbitrap_6070, 48942
2019_06_25_18_33_Q-Exactive-HF-X-Orbitrap_6028, 48921
2019_03_05_17_39_Q-Exactive-HF-X-Orbitrap_6070, 48900
2019_05_08_15_35_Q-Exactive-HF-X-Orbitrap_6013, 48896
2019_06_22_23_37_Q-Exactive-HF-X-Orbitrap_6028, 48867
2019_06_26_13_20_Q-Exactive-HF-X-Orbitrap_6324, 48812
2019_04_18_23_55_Q-Exactive-HF-X-Orbitrap_6044, 48740
2019_11_20_17_35_Q-Exactive-HF-X-Orbitrap_6070, 48728
2019_02_06_22_45_Q-Exactive-HF-X-Orbitrap_6070, 48725
2019_08_04_12_38_Q-Exactive-HF-X-Orbitrap_6025, 48708
2019_09_20_11_47_Q-Exactive-HF-X-Orbitrap_6025, 48698
2019_06_27_14_55_Q-Exactive-HF-X-Orbitrap_6028, 48688
2019_09_17_21_31_Q-Exactive-HF-X-Orbitrap_6070, 48675
2019_06_10_11_03_Q-Exactive-HF-X-Orbitrap_6023, 48653
