source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[individual]	Material Type	assay name	comment[file uri]	comment[proteomics data acquisition method]	comment[fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[fraction identifier]	comment[MS1 scan range]	comment[MS2 scan range]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD048325-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	1	not available	cell line	run 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD048325/20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A1_1.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	300m/z-1250m/z	300m/z-1250m/z	1	20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A1_1.raw	HeLa
PXD048325-Sample-2	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	2	not available	cell line	run 2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD048325/20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A2_2.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	300m/z-1250m/z	300m/z-1250m/z	1	20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A2_2.raw	HeLa
PXD048325-Sample-3	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	3	not available	cell line	run 3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD048325/20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A3_3.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	300m/z-1250m/z	300m/z-1250m/z	1	20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A3_3.raw	HeLa
PXD048325-Sample-4	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	4	not available	cell line	run 4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD048325/20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A4_4.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	300m/z-1250m/z	300m/z-1250m/z	1	20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A4_4.raw	HeLa
PXD048325-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	5	not available	cell line	run 5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD048325/20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A5_5.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	300m/z-1250m/z	300m/z-1250m/z	1	20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A5_5.raw	HeLa
PXD048325-Sample-6	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	6	not available	cell line	run 6	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD048325/20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A6_6.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	300m/z-1250m/z	300m/z-1250m/z	1	20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A6_6.raw	HeLa
PXD048325-Sample-7	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	7	not available	cell line	run 7	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD048325/20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A7_7.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	300m/z-1250m/z	300m/z-1250m/z	1	20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A7_7.raw	HeLa
PXD048325-Sample-8	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	8	not available	cell line	run 8	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD048325/20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A8_8.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	300m/z-1250m/z	300m/z-1250m/z	1	20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A8_8.raw	HeLa
PXD048325-Sample-9	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	9	not available	cell line	run 9	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD048325/20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A9_9.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	300m/z-1250m/z	300m/z-1250m/z	1	20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A9_9.raw	HeLa
PXD048325-Sample-10	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	10	not available	cell line	run 10	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD048325/20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A10_10.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	40 ppm	40 ppm	1	300m/z-1250m/z	300m/z-1250m/z	1	20240307_AST0_Evo10_AHK_100SPD_OT2_Hela1ug_500ng_plate1_A10_10.raw	HeLa
