source name	characteristics[organism]	characteristics[cell line]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	factor value[cell line]
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run1	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr01.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr01.raw	1	1	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run2	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr02.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr02.raw	1	2	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run3	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr03.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr03.raw	1	3	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run4	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr04.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr04.raw	1	4	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run5	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr05.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr05.raw	1	5	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run6	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr06.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr06.raw	1	6	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run7	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr07.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr07.raw	1	7	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run8	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr08.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr08.raw	1	8	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run9	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr09.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr09.raw	1	9	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run10	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr10.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr10.raw	1	10	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run11	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr11.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr11.raw	1	11	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run12	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr12.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr12.raw	1	12	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run13	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr13.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr13.raw	1	13	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run14	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr14.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr14.raw	1	14	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-1	Homo sapiens	SW480	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run15	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr15.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr15.raw	1	15	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW480
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run16	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr01.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr01.raw	1	1	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run17	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr02.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr02.raw	1	2	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run18	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr03.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr03.raw	1	3	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run19	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr04.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr04.raw	1	4	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run20	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr05.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr05.raw	1	5	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run21	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr06.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr06.raw	1	6	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run22	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr07.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr07.raw	1	7	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run23	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr08.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr08.raw	1	8	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run24	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr09.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr09.raw	1	9	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
