source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD019483-Sample-1	Homo sapiens	not applicable	not available	not available	Hela	not applicable	not applicable	not applicable	not applicable	1	organism part	run 1	proteomic profiling by mass spectrometry	20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_2-1verdunnt_F4_180921192819.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_2-1verdunnt_F4_180921192819.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Hela
PXD019483-Sample-1	Homo sapiens	not applicable	not available	not available	Hela	not applicable	not applicable	not applicable	not applicable	1	organism part	run 2	proteomic profiling by mass spectrometry	20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_F1.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Hela
PXD019483-Sample-1	Homo sapiens	not applicable	not available	not available	Hela	not applicable	not applicable	not applicable	not applicable	1	organism part	run 3	proteomic profiling by mass spectrometry	20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_F2.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Hela
PXD019483-Sample-1	Homo sapiens	not applicable	not available	not available	Hela	not applicable	not applicable	not applicable	not applicable	1	organism part	run 4	proteomic profiling by mass spectrometry	20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_F3.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Hela
PXD019483-Sample-1	Homo sapiens	not applicable	not available	not available	Hela	not applicable	not applicable	not applicable	not applicable	1	organism part	run 5	proteomic profiling by mass spectrometry	20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_2-1verdunnt_F5_180921224027.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_2-1verdunnt_F5_180921224027.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Hela
PXD019483-Sample-1	Homo sapiens	not applicable	not available	not available	Hela	not applicable	not applicable	not applicable	not applicable	1	organism part	run 6	proteomic profiling by mass spectrometry	20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_2-1verdunnt_F6_180922015225.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_2-1verdunnt_F6_180922015225.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Hela
PXD019483-Sample-1	Homo sapiens	not applicable	not available	not available	Hela	not applicable	not applicable	not applicable	not applicable	1	organism part	run 7	proteomic profiling by mass spectrometry	20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_2-1verdunnt_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_2-1verdunnt_F7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Hela
PXD019483-Sample-1	Homo sapiens	not applicable	not available	not available	Hela	not applicable	not applicable	not applicable	not applicable	1	organism part	run 8	proteomic profiling by mass spectrometry	20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_2-1verdunnt_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20180920_QX3_JoMu_SA_LC12-7_uPAC200cm_HeLaiRT_2-1verdunnt_F8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Hela
PXD019483-Sample-2	Homo sapiens	not applicable	not available	not available	A549	not applicable	not applicable	not applicable	not applicable	1	organism part	run 9	proteomic profiling by mass spectrometry	20190530_QX6_JoMu_SA_uPac200cm_A549_f1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190530_QX6_JoMu_SA_uPac200cm_A549_f1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	A549
PXD019483-Sample-2	Homo sapiens	not applicable	not available	not available	A549	not applicable	not applicable	not applicable	not applicable	1	organism part	run 10	proteomic profiling by mass spectrometry	20190530_QX6_JoMu_SA_uPac200cm_A549_f2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190530_QX6_JoMu_SA_uPac200cm_A549_f2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	A549
