source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[cell line]
PXD024364-Sample 1	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 1	proteomic profiling by mass spectrometry	20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr1_151117122122.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr1_151117122122.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001304;NT=Asp-N	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 1	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 2	proteomic profiling by mass spectrometry	20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr2_151117135407.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr2_151117135407.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001304;NT=Asp-N	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 1	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 3	proteomic profiling by mass spectrometry	20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr3_151117152648.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr3_151117152648.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001304;NT=Asp-N	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 1	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 4	proteomic profiling by mass spectrometry	20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr4_151117165928.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr4_151117165928.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001304;NT=Asp-N	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 1	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 5	proteomic profiling by mass spectrometry	20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr5_151117183206.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr5_151117183206.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001304;NT=Asp-N	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 1	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 6	proteomic profiling by mass spectrometry	20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr6_151117200445.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr6_151117200445.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001304;NT=Asp-N	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 1	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 7	proteomic profiling by mass spectrometry	20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr7_151117213723.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr7_151117213723.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001304;NT=Asp-N	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 1	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 8	proteomic profiling by mass spectrometry	20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr8_151117231003.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr8_151117231003.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001304;NT=Asp-N	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 1	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 9	proteomic profiling by mass spectrometry	20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr9.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr9.raw	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001304;NT=Asp-N	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	GM12878
PXD024364-Sample 1	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	run 10	proteomic profiling by mass spectrometry	20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr10.raw	ftp://massive.ucsd.edu/MSV000086944/raw/raw/20151114_alr_CompleteHumanProteome_GM12878_ETD_AspN_fr10.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001304;NT=Asp-N	AC=MS:1000598;NT=ETD	20 ppm	0.35 Da	GM12878
