source name	characteristics[organism]	characteristics[cell line]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	factor value[cell line]
PXD026750-Sample-1	Homo sapiens	3T3	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run1	proteomic profiling by mass spectrometry	200305_PUMBA_11970-01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/200305_PUMBA_11970-01.raw	1	1	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	3T3
PXD026750-Sample-1	Homo sapiens	3T3	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run2	proteomic profiling by mass spectrometry	200305_PUMBA_11970-02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/200305_PUMBA_11970-02.raw	1	2	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	3T3
PXD026750-Sample-1	Homo sapiens	3T3	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run3	proteomic profiling by mass spectrometry	200305_PUMBA_11970-03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/200305_PUMBA_11970-03.raw	1	3	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	3T3
PXD026750-Sample-1	Homo sapiens	3T3	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run4	proteomic profiling by mass spectrometry	200305_PUMBA_11970-04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/200305_PUMBA_11970-04.raw	1	4	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	3T3
PXD026750-Sample-1	Homo sapiens	3T3	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run5	proteomic profiling by mass spectrometry	200305_PUMBA_11970-05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/200305_PUMBA_11970-05.raw	1	5	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	3T3
PXD026750-Sample-1	Homo sapiens	3T3	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run6	proteomic profiling by mass spectrometry	200305_PUMBA_11970-06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/200305_PUMBA_11970-06.raw	1	6	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	3T3
PXD026750-Sample-1	Homo sapiens	3T3	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run7	proteomic profiling by mass spectrometry	200305_PUMBA_11970-07.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/200305_PUMBA_11970-07.raw	1	7	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	3T3
PXD026750-Sample-1	Homo sapiens	3T3	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run8	proteomic profiling by mass spectrometry	200305_PUMBA_11970-08.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/200305_PUMBA_11970-08.raw	1	8	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	3T3
PXD026750-Sample-1	Homo sapiens	3T3	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run9	proteomic profiling by mass spectrometry	200305_PUMBA_11970-09.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/200305_PUMBA_11970-09.raw	1	9	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	3T3
PXD026750-Sample-1	Homo sapiens	3T3	not available	not available	cell line	not available	not available	1	not available	not available	cell line	run10	proteomic profiling by mass spectrometry	200305_PUMBA_11970-10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/01/PXD026750/200305_PUMBA_11970-10.raw	1	10	label free	NT=Q Exactive Plus;AC=MS:1002634	NT=HCD;AC=PRIDE:0000590	27% NCE	7 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	3T3
