source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]
2013_11_05_19_16_Q-Exactive-Plus-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2013_11_05_19_16_Q-Exactive-Plus-Orbitrap_1	proteomic profiling by mass spectrometer	294	2013_11_05_19_16_Q-Exactive-Plus-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Exactive Plus;AC=MS:1002526
2013_11_07_01_58_Q-Exactive-Plus-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2013_11_07_01_58_Q-Exactive-Plus-Orbitrap_1	proteomic profiling by mass spectrometer	298	2013_11_07_01_58_Q-Exactive-Plus-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Exactive Plus;AC=MS:1002526
2013_11_23_12_38_Q-Exactive-Plus-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2013_11_23_12_38_Q-Exactive-Plus-Orbitrap_1	proteomic profiling by mass spectrometer	318	2013_11_23_12_38_Q-Exactive-Plus-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Exactive Plus;AC=MS:1002526
2013_11_24_13_58_Q-Exactive-Plus-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2013_11_24_13_58_Q-Exactive-Plus-Orbitrap_1	proteomic profiling by mass spectrometer	319	2013_11_24_13_58_Q-Exactive-Plus-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Exactive Plus;AC=MS:1002526
2013_12_02_23_48_Q-Exactive-Plus-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2013_12_02_23_48_Q-Exactive-Plus-Orbitrap_1	proteomic profiling by mass spectrometer	328	2013_12_02_23_48_Q-Exactive-Plus-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Exactive Plus;AC=MS:1002526
2013_12_16_22_36_Q-Exactive-Plus-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2013_12_16_22_36_Q-Exactive-Plus-Orbitrap_1	proteomic profiling by mass spectrometer	343	2013_12_16_22_36_Q-Exactive-Plus-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Exactive Plus;AC=MS:1002526
2013_12_24_18_51_Q-Exactive-Plus-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2013_12_24_18_51_Q-Exactive-Plus-Orbitrap_1	proteomic profiling by mass spectrometer	353	2013_12_24_18_51_Q-Exactive-Plus-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Exactive Plus;AC=MS:1002526
2013_12_24_22_05_Q-Exactive-Plus-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2013_12_24_22_05_Q-Exactive-Plus-Orbitrap_1	proteomic profiling by mass spectrometer	354	2013_12_24_22_05_Q-Exactive-Plus-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Exactive Plus;AC=MS:1002526
2013_12_25_01_20_Q-Exactive-Plus-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2013_12_25_01_20_Q-Exactive-Plus-Orbitrap_1	proteomic profiling by mass spectrometer	355	2013_12_25_01_20_Q-Exactive-Plus-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Exactive Plus;AC=MS:1002526
2015_01_05_14_02_Q-Exactive-Plus-Orbitrap_143	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_05_14_02_Q-Exactive-Plus-Orbitrap_143	proteomic profiling by mass spectrometer	384	2015_01_05_14_02_Q-Exactive-Plus-Orbitrap_143.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Exactive Plus;AC=MS:1002526
2015_01_13_18_40_Q-Exactive-Plus-Orbitrap_143	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_13_18_40_Q-Exactive-Plus-Orbitrap_143	proteomic profiling by mass spectrometer	416	2015_01_13_18_40_Q-Exactive-Plus-Orbitrap_143.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Exactive Plus;AC=MS:1002526
2015_01_16_21_46_Q-Exactive-Plus-Orbitrap_143	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_16_21_46_Q-Exactive-Plus-Orbitrap_143	proteomic profiling by mass spectrometer	431	2015_01_16_21_46_Q-Exactive-Plus-Orbitrap_143.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Exactive Plus;AC=MS:1002526
