source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]
2015_10_09_22_52_Orbitrap-Fusion-Lumos_FSN20115	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_10_09_22_52_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1076	2015_10_09_22_52_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732
2015_10_10_00_28_Orbitrap-Fusion-Lumos_FSN20115	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_10_10_00_28_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1078	2015_10_10_00_28_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732
2015_10_10_03_42_Orbitrap-Fusion-Lumos_FSN20115	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_10_10_03_42_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1079	2015_10_10_03_42_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732
2015_10_10_05_18_Orbitrap-Fusion-Lumos_FSN20115	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_10_10_05_18_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1080	2015_10_10_05_18_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732
2015_10_10_08_32_Orbitrap-Fusion-Lumos_FSN20115	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_10_10_08_32_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1081	2015_10_10_08_32_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732
2015_10_10_10_08_Orbitrap-Fusion-Lumos_FSN20115	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_10_10_10_08_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1082	2015_10_10_10_08_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732
2015_10_10_13_22_Orbitrap-Fusion-Lumos_FSN20115	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_10_10_13_22_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1083	2015_10_10_13_22_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732
2015_10_10_14_59_Orbitrap-Fusion-Lumos_FSN20115	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_10_10_14_59_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1084	2015_10_10_14_59_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732
2015_10_10_18_12_Orbitrap-Fusion-Lumos_FSN20115	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_10_10_18_12_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1085	2015_10_10_18_12_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732
2015_10_10_19_49_Orbitrap-Fusion-Lumos_FSN20115	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_10_10_19_49_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1086	2015_10_10_19_49_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732
