source name	characteristics[organism]	characteristics[cell line]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	factor value[cell line]
PXD051723-Sample-1	Homo sapiens	A549	not available	not available	cell line	not available	Lung carcinoma	1	not available	not available	cell line	run1	proteomic profiling by mass spectrometry	20100604_Velos1_TaGe_SA_A549_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD051723/20100604_Velos1_TaGe_SA_A549_1.raw	1	1	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	6 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin;AC=MS:1001251	A549
PXD051723-Sample-1	Homo sapiens	A549	not available	not available	cell line	not available	Lung carcinoma	1	not available	not available	cell line	run2	proteomic profiling by mass spectrometry	20100604_Velos1_TaGe_SA_A549_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD051723/20100604_Velos1_TaGe_SA_A549_2.raw	1	2	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	6 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin;AC=MS:1001251	A549
PXD051723-Sample-1	Homo sapiens	A549	not available	not available	cell line	not available	Lung carcinoma	1	not available	not available	cell line	run3	proteomic profiling by mass spectrometry	20100604_Velos1_TaGe_SA_A549_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD051723/20100604_Velos1_TaGe_SA_A549_3.raw	1	3	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	6 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin;AC=MS:1001251	A549
PXD051723-Sample-1	Homo sapiens	A549	not available	not available	cell line	not available	Lung carcinoma	1	not available	not available	cell line	run4	proteomic profiling by mass spectrometry	20100604_Velos1_TaGe_SA_A549_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD051723/20100604_Velos1_TaGe_SA_A549_4.raw	1	4	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	6 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin;AC=MS:1001251	A549
PXD051723-Sample-1	Homo sapiens	A549	not available	not available	cell line	not available	Lung carcinoma	1	not available	not available	cell line	run5	proteomic profiling by mass spectrometry	20100604_Velos1_TaGe_SA_A549_5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD051723/20100604_Velos1_TaGe_SA_A549_5.raw	1	5	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	6 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin;AC=MS:1001251	A549
PXD051723-Sample-1	Homo sapiens	A549	not available	not available	cell line	not available	Lung carcinoma	1	not available	not available	cell line	run6	proteomic profiling by mass spectrometry	20100604_Velos1_TaGe_SA_A549_6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD051723/20100604_Velos1_TaGe_SA_A549_6.raw	1	6	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	6 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin;AC=MS:1001251	A549
PXD051723-Sample-3	Homo sapiens	HEK293	not available	not available	cell line	not available	Embryonic kidney cells	1	not available	not available	cell line	run7	proteomic profiling by mass spectrometry	20100609_Velos1_TaGe_SA_293_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD051723/20100609_Velos1_TaGe_SA_293_1.raw	1	1	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	6 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin;AC=MS:1001251	HEK293
PXD051723-Sample-3	Homo sapiens	HEK293	not available	not available	cell line	not available	Embryonic kidney cells	1	not available	not available	cell line	run8	proteomic profiling by mass spectrometry	20100609_Velos1_TaGe_SA_293_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD051723/20100609_Velos1_TaGe_SA_293_2.raw	1	2	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	6 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin;AC=MS:1001251	HEK293
PXD051723-Sample-3	Homo sapiens	HEK293	not available	not available	cell line	not available	Embryonic kidney cells	1	not available	not available	cell line	run9	proteomic profiling by mass spectrometry	20100609_Velos1_TaGe_SA_293_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD051723/20100609_Velos1_TaGe_SA_293_3.raw	1	3	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	6 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin;AC=MS:1001251	HEK293
PXD051723-Sample-3	Homo sapiens	HEK293	not available	not available	cell line	not available	Embryonic kidney cells	1	not available	not available	cell line	run10	proteomic profiling by mass spectrometry	20100609_Velos1_TaGe_SA_293_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD051723/20100609_Velos1_TaGe_SA_293_4.raw	1	4	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	6 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin;AC=MS:1001251	HEK293
