source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[strain]	characteristics[developmental stage]	characteristics[cell line]	characteristics[sex]	characteristics[disease]	characteristics[mass]	characteristics[spiked compound]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD001224-Sample-1	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 1	proteomic profiling by mass spectrometry	2509_1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2509_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-1	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 2	proteomic profiling by mass spectrometry	2509_10.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2509_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-1	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 3	proteomic profiling by mass spectrometry	2509_11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2509_11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-1	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 4	proteomic profiling by mass spectrometry	2509_12.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2509_12.raw	1	12	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-1	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 5	proteomic profiling by mass spectrometry	2509_2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2509_2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-1	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 6	proteomic profiling by mass spectrometry	2509_3.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2509_3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-1	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 7	proteomic profiling by mass spectrometry	2509_4.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2509_4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-1	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 8	proteomic profiling by mass spectrometry	2509_5.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2509_5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-1	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 9	proteomic profiling by mass spectrometry	2509_6.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2509_6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-1	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 10	proteomic profiling by mass spectrometry	2509_7.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2509_7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
