source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[disease]
PXD008973-Sample-1	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	1	plasma	run 1	proteomic profiling by mass spectrometry	170503_Th0_24h_1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_24h_1_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-1	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	1	plasma	run 2	proteomic profiling by mass spectrometry	170503_Th0_24h_1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_24h_1_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-1	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	1	plasma	run 3	proteomic profiling by mass spectrometry	170503_Th0_24h_1_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_24h_1_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-2	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	2	plasma	run 4	proteomic profiling by mass spectrometry	170503_Th0_24h_2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_24h_2_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-2	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	2	plasma	run 5	proteomic profiling by mass spectrometry	170503_Th0_24h_2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_24h_2_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-2	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	2	plasma	run 6	proteomic profiling by mass spectrometry	170503_Th0_24h_2_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_24h_2_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-3	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	3	plasma	run 7	proteomic profiling by mass spectrometry	170503_Th0_24h_3_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_24h_3_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-3	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	3	plasma	run 8	proteomic profiling by mass spectrometry	170503_Th0_24h_3_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_24h_3_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-3	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	3	plasma	run 9	proteomic profiling by mass spectrometry	170503_Th0_24h_3_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_24h_3_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-4	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	4	plasma	run 10	proteomic profiling by mass spectrometry	170428_Th0_24h_4_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th0_24h_4_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
