source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[disease]
PXD009199-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 1	proteomic profiling by mass spectrometry	ad_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ad_01.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 2	proteomic profiling by mass spectrometry	ad_01_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ad_01_b.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-2	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 3	proteomic profiling by mass spectrometry	ad_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ad_02.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-2	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 4	proteomic profiling by mass spectrometry	ad_02_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ad_02_b.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-3	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 5	proteomic profiling by mass spectrometry	ad_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ad_05.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-3	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 6	proteomic profiling by mass spectrometry	ad_05_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ad_05_b.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-4	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 7	proteomic profiling by mass spectrometry	ad_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ad_06.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-4	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 8	proteomic profiling by mass spectrometry	ad_06_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ad_06_b.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-5	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 9	proteomic profiling by mass spectrometry	ad_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ad_07.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-5	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 10	proteomic profiling by mass spectrometry	ad_07_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ad_07_b.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
