source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[age]	characteristics[cell type]	characteristics[enrichment process]	characteristics[disease]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[fractionation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]
PXD013868-Sample 1	Arabidopsis thaliana	sepal	1	5W	plant cell	enrichment of phosphorylated Protein	normal	run 1	02131_A01_P022360_I00_U01_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02131_A01_P022360_I00_U01_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Reversed-phase chromatography (RP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	20 ppm	5 ppm	sepal
PXD013868-Sample 1	Arabidopsis thaliana	sepal	1	5W	plant cell	enrichment of phosphorylated Protein	normal	run 2	02131_B01_P022360_I00_U02_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02131_B01_P022360_I00_U02_R1.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Reversed-phase chromatography (RP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	20 ppm	5 ppm	sepal
PXD013868-Sample 1	Arabidopsis thaliana	sepal	1	5W	plant cell	enrichment of phosphorylated Protein	normal	run 3	02131_C01_P022360_I00_U03_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02131_C01_P022360_I00_U03_R1.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Reversed-phase chromatography (RP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	20 ppm	5 ppm	sepal
PXD013868-Sample 1	Arabidopsis thaliana	sepal	1	5W	plant cell	enrichment of phosphorylated Protein	normal	run 4	02131_D01_P022360_I00_U04_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02131_D01_P022360_I00_U04_R1.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Reversed-phase chromatography (RP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	20 ppm	5 ppm	sepal
PXD013868-Sample 2	Arabidopsis thaliana	petal	1	5W	plant cell	enrichment of phosphorylated Protein	normal	run 5	02131_E01_P022361_I00_U01_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02131_E01_P022361_I00_U01_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Reversed-phase chromatography (RP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	20 ppm	5 ppm	petal
PXD013868-Sample 2	Arabidopsis thaliana	petal	1	5W	plant cell	enrichment of phosphorylated Protein	normal	run 6	02131_F01_P022361_I00_U02_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02131_F01_P022361_I00_U02_R1.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Reversed-phase chromatography (RP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	20 ppm	5 ppm	petal
PXD013868-Sample 2	Arabidopsis thaliana	petal	1	5W	plant cell	enrichment of phosphorylated Protein	normal	run 7	02131_G01_P022361_I00_U03_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02131_G01_P022361_I00_U03_R1.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Reversed-phase chromatography (RP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	20 ppm	5 ppm	petal
PXD013868-Sample 2	Arabidopsis thaliana	petal	1	5W	plant cell	enrichment of phosphorylated Protein	normal	run 8	02131_H01_P022361_I00_U04_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02131_H01_P022361_I00_U04_R1.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Reversed-phase chromatography (RP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	20 ppm	5 ppm	petal
PXD013868-Sample 3	Arabidopsis thaliana	stamen	1	5W	plant cell	enrichment of phosphorylated Protein	normal	run 9	02131_A02_P022362_I00_U01_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02131_A02_P022362_I00_U01_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Reversed-phase chromatography (RP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	20 ppm	5 ppm	stamen
PXD013868-Sample 3	Arabidopsis thaliana	stamen	1	5W	plant cell	enrichment of phosphorylated Protein	normal	run 10	02131_B02_P022362_I00_U02_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02131_B02_P022362_I00_U02_R1.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Reversed-phase chromatography (RP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	20 ppm	5 ppm	stamen
