source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	characteristics[individual]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD032212-Sample-1	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	1	72	tissue	run 1	proteomic profiling by mass spectrometry	BT_190226_Arsenii_01.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_01.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-1	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	1	72	tissue	run 2	proteomic profiling by mass spectrometry	BT_190226_Arsenii_02.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_02.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-2	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	2	78	tissue	run 3	proteomic profiling by mass spectrometry	BT_190226_Arsenii_03.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_03.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-2	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	2	78	tissue	run 4	proteomic profiling by mass spectrometry	BT_190226_Arsenii_04.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_04.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-3	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	3	80	tissue	run 5	proteomic profiling by mass spectrometry	BT_190226_Arsenii_05.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_05.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-3	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	3	80	tissue	run 6	proteomic profiling by mass spectrometry	BT_190226_Arsenii_06.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_06.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-4	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	1	82	tissue	run 7	proteomic profiling by mass spectrometry	BT_190226_Arsenii_07.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_07.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-4	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	1	82	tissue	run 8	proteomic profiling by mass spectrometry	BT_190226_Arsenii_08.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_08.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-5	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	2	83	tissue	run 9	proteomic profiling by mass spectrometry	BT_190226_Arsenii_09.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_09.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-5	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	2	83	tissue	run 10	proteomic profiling by mass spectrometry	BT_190226_Arsenii_10.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_10.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-6	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	3	139	tissue	run 11	proteomic profiling by mass spectrometry	BT_190226_Arsenii_11.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_11.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-6	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	3	139	tissue	run 12	proteomic profiling by mass spectrometry	BT_190226_Arsenii_12.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_12.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
