source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[separation]	comment[proteomics data acquisition method]	comment[modification parameter]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD034244-Sample-1	Homo sapiens	heart	1	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	1	not applicable	Human Adult Cardiac Fibroblasts - Control 	proteomic profiling by mass spectrometry	SWATH_A1-C_1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_A1-C_1.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-1	Homo sapiens	heart	2	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	1	not applicable	Human Adult Cardiac Fibroblasts - Control 	proteomic profiling by mass spectrometry	SWATH_A1-C_2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_A1-C_2.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-1	Homo sapiens	heart	3	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	1	not applicable	Human Adult Cardiac Fibroblasts - Control 	proteomic profiling by mass spectrometry	SWATH_A1-C_3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_A1-C_3.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-2	Homo sapiens	heart	4	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	2	not applicable	Human Adult Cardiac Fibroblasts - Control 	proteomic profiling by mass spectrometry	SWATH_A2-C_1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_A2-C_1.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-2	Homo sapiens	heart	5	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	2	not applicable	Human Adult Cardiac Fibroblasts - Control 	proteomic profiling by mass spectrometry	SWATH_A2-C_2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_A2-C_2.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-2	Homo sapiens	heart	6	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	2	not applicable	Human Adult Cardiac Fibroblasts - Control 	proteomic profiling by mass spectrometry	SWATH_A2-C_3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_A2-C_3.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-3	Homo sapiens	heart	7	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	3	not applicable	Human Adult Cardiac Fibroblasts - Control 	proteomic profiling by mass spectrometry	SWATH_A3-C_1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_A3-C_1.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-3	Homo sapiens	heart	8	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	3	not applicable	Human Adult Cardiac Fibroblasts - Control 	proteomic profiling by mass spectrometry	SWATH_A3-C_2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_A3-C_2.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-3	Homo sapiens	heart	9	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	3	not applicable	Human Adult Cardiac Fibroblasts - Control 	proteomic profiling by mass spectrometry	SWATH_A3-C_3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_A3-C_3.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-4	Homo sapiens	heart	10	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	4	not applicable	hiPSC-derived Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_B1-C_1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_B1-C_1.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	hiPSC
