source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[ph]	characteristics[day]	characteristics[tank]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[proteomexchange accession number]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism]
PXD020692-Sample-1	marine metagenome	not applicable	not applicable	not applicable	1	8.2	1	4	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_01.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_01.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-2	marine metagenome	not applicable	not applicable	not applicable	2	7.1	12	6	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_03.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_03.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-3	marine metagenome	not applicable	not applicable	not applicable	3	8.2	8	8	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_04.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_04.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-4	marine metagenome	not applicable	not applicable	not applicable	4	7.1	8	9	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_05.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_05.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-5	marine metagenome	not applicable	not applicable	not applicable	5	8.2	12	4	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_06.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_06.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-6	marine metagenome	not applicable	not applicable	not applicable	6	8.2	8	4	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_07.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_07.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-7	marine metagenome	not applicable	not applicable	not applicable	7	7.1	12	9	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_08.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_08.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-8	marine metagenome	not applicable	not applicable	not applicable	8	8.2	12	8	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_09.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_09.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-9	marine metagenome	not applicable	not applicable	not applicable	9	7.1	5	9	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_10.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_10.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-10	marine metagenome	not applicable	not applicable	not applicable	10	7.1	8	6	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_11.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_11.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
