source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	assay name	Technology Type	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	CHPP_Testis_SDS_1001.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1001.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	2	1	CHPP_Testis_SDS_1002.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1002.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	3	1	CHPP_Testis_SDS_1003.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1003.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	4	1	CHPP_Testis_SDS_1004.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1004.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	5	1	CHPP_Testis_SDS_1005.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1005.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	6	1	CHPP_Testis_SDS_1006.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1006.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	7	1	CHPP_Testis_SDS_1007.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1007.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	8	1	CHPP_Testis_SDS_1008.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1008.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	9	1	CHPP_Testis_SDS_1009.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1009.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 38	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	10	1	CHPP_Testis_SDS_1010.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1010.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
