source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC1.raw	1	1	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 38	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC2.raw	1	2	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 39	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC3.raw	1	3	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 40	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC4.raw	1	4	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 41	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC5.raw	1	5	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 42	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC6.raw	1	6	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 43	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC7.raw	1	7	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 44	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC8.raw	1	8	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 45	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC9.raw	1	9	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 46	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC10.raw	1	10	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 47	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC11.raw	1	11	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 48	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC12.raw	1	12	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 49	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC13.raw	1	13	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 50	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC14.raw	1	14	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 51	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC15.raw	1	15	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 52	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC16.raw	1	16	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 53	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC17.raw	1	17	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 54	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC18.raw	1	18	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 55	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC19.raw	1	19	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 56	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC20.raw	1	20	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 57	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC21.raw	1	21	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 58	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC22.raw	1	22	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 59	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC23.raw	1	23	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 60	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC24.raw	1	24	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 61	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC25.raw	1	25	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 62	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC26.raw	1	26	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 63	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC27.raw	1	27	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 64	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC28.raw	1	28	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 65	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC29.raw	1	29	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 66	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC30.raw	1	30	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 67	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC31.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC31.raw	1	31	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 68	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC32.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC32.raw	1	32	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 69	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC33.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC33.raw	1	33	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 70	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC34.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC34.raw	1	34	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 71	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC35.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC35.raw	1	35	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
PXD009737-Sample-2	Homo sapiens	Testis	not available	not available	not available	not available	not available	not applicable	not applicable	1	cell	run 72	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	LysC36.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009737/LysC36.raw	1	36	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.02 Da	Testis
