source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
MSV000083952-Sample-1	Homo sapiens	Cell culture	Haploid cell	KBM7	Chronic myeloid leukemia	1	run 1	M411-A01-O156-HS-P4569-1.raw	ftp://massive.ucsd.edu/MSV000083952/raw/RAW/M411-A01-O156-HS-P4569-1.raw	1	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=CID;AC=PRIDE:0000591	not available	10 ppm	0.6 Da	KBM7
MSV000083952-Sample-1	Homo sapiens	Cell culture	Haploid cell	KBM7	Chronic myeloid leukemia	1	run 2	M411-A01-O156-HS-P4569-2.raw	ftp://massive.ucsd.edu/MSV000083952/raw/RAW/M411-A01-O156-HS-P4569-2.raw	2	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=CID;AC=PRIDE:0000591	not available	10 ppm	0.6 Da	KBM7
MSV000083952-Sample-1	Homo sapiens	Cell culture	Haploid cell	KBM7	Chronic myeloid leukemia	1	run 3	M411-A02-O156-HS-P4569-1.raw	ftp://massive.ucsd.edu/MSV000083952/raw/RAW/M411-A02-O156-HS-P4569-1.raw	1	2	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=CID;AC=PRIDE:0000591	not available	10 ppm	0.6 Da	KBM7
MSV000083952-Sample-1	Homo sapiens	Cell culture	Haploid cell	KBM7	Chronic myeloid leukemia	1	run 4	M411-A02-O156-HS-P4569-2.raw	ftp://massive.ucsd.edu/MSV000083952/raw/RAW/M411-A02-O156-HS-P4569-2.raw	2	2	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=CID;AC=PRIDE:0000591	not available	10 ppm	0.6 Da	KBM7
MSV000083952-Sample-1	Homo sapiens	Cell culture	Haploid cell	KBM7	Chronic myeloid leukemia	1	run 5	M411-A03-O156-HS-P4569-1.raw	ftp://massive.ucsd.edu/MSV000083952/raw/RAW/M411-A03-O156-HS-P4569-1.raw	1	3	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=CID;AC=PRIDE:0000591	not available	10 ppm	0.6 Da	KBM7
MSV000083952-Sample-1	Homo sapiens	Cell culture	Haploid cell	KBM7	Chronic myeloid leukemia	1	run 6	M411-A03-O156-HS-P4569-2.raw	ftp://massive.ucsd.edu/MSV000083952/raw/RAW/M411-A03-O156-HS-P4569-2.raw	2	3	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=CID;AC=PRIDE:0000591	not available	10 ppm	0.6 Da	KBM7
MSV000083952-Sample-1	Homo sapiens	Cell culture	Haploid cell	KBM7	Chronic myeloid leukemia	1	run 7	M411-A04-O156-HS-P4569-1.raw	ftp://massive.ucsd.edu/MSV000083952/raw/RAW/M411-A04-O156-HS-P4569-1.raw	1	4	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=CID;AC=PRIDE:0000591	not available	10 ppm	0.6 Da	KBM7
MSV000083952-Sample-1	Homo sapiens	Cell culture	Haploid cell	KBM7	Chronic myeloid leukemia	1	run 8	M411-A04-O156-HS-P4569-2.raw	ftp://massive.ucsd.edu/MSV000083952/raw/RAW/M411-A04-O156-HS-P4569-2.raw	2	4	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=CID;AC=PRIDE:0000591	not available	10 ppm	0.6 Da	KBM7
MSV000083952-Sample-1	Homo sapiens	Cell culture	Haploid cell	KBM7	Chronic myeloid leukemia	1	run 9	M411-A05-O156-HS-P4569-1.raw	ftp://massive.ucsd.edu/MSV000083952/raw/RAW/M411-A05-O156-HS-P4569-1.raw	1	5	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=CID;AC=PRIDE:0000591	not available	10 ppm	0.6 Da	KBM7
MSV000083952-Sample-1	Homo sapiens	Cell culture	Haploid cell	KBM7	Chronic myeloid leukemia	1	run 10	M411-A05-O156-HS-P4569-2.raw	ftp://massive.ucsd.edu/MSV000083952/raw/RAW/M411-A05-O156-HS-P4569-2.raw	2	5	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=CID;AC=PRIDE:0000591	not available	10 ppm	0.6 Da	KBM7
