source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]
MSV000083969-Sample-1	Homo sapiens	lung	not available	not available	not available	lung cancer	not available	not available	not available	1	run 1	LC1.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/LC1.mzML	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	lung cancer
MSV000083969-Sample-1	Homo sapiens	lung	not available	not available	not available	lung cancer	not available	not available	not available	1	run 2	LC2.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/LC2.mzML	1	2	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	lung cancer
MSV000083969-Sample-1	Homo sapiens	lung	not available	not available	not available	lung cancer	not available	not available	not available	1	run 3	LC3.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/LC3.mzML	1	3	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	lung cancer
MSV000083969-Sample-1	Homo sapiens	lung	not available	not available	not available	lung cancer	not available	not available	not available	1	run 4	LC4.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/LC4.mzML	1	4	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	lung cancer
MSV000083969-Sample-1	Homo sapiens	lung	not available	not available	not available	lung cancer	not available	not available	not available	1	run 5	LC5.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/LC5.mzML	1	5	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	lung cancer
MSV000083969-Sample-1	Homo sapiens	lung	not available	not available	not available	lung cancer	not available	not available	not available	1	run 6	LC6.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/LC6.mzML	1	6	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	lung cancer
MSV000083969-Sample-1	Homo sapiens	lung	not available	not available	not available	lung cancer	not available	not available	not available	1	run 7	LC7.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/LC7.mzML	1	7	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	lung cancer
MSV000083969-Sample-1	Homo sapiens	lung	not available	not available	not available	lung cancer	not available	not available	not available	1	run 8	LC8.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/LC8.mzML	1	8	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	lung cancer
MSV000083969-Sample-1	Homo sapiens	lung	not available	not available	not available	lung cancer	not available	not available	not available	1	run 9	LC9.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/LC9.mzML	1	9	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	lung cancer
MSV000083969-Sample-1	Homo sapiens	lung	not available	not available	not available	lung cancer	not available	not available	not available	1	run 10	LC10.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/LC10.mzML	1	10	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	lung cancer
