source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 1	Baby_A549_F1_01162014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/Baby_A549_F1_01162014_1.wiff.scan	1	1	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 2	Baby_A549_F1_01162014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/Baby_A549_F1_01162014_2.wiff.scan	1	1	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 3	Baby_A549_F3_01162014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/Baby_A549_F3_01162014_1.wiff.scan	1	3	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 4	Baby_A549_F3_01162014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/Baby_A549_F3_01162014_2.wiff.scan	1	3	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 5	Baby_A549_FTwash_01162014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/Baby_A549_FTwash_01162014_1.wiff.scan	1	7	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 6	Baby_A549_FTwash_01162014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/Baby_A549_FTwash_01162014_2.wiff.scan	1	7	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 7	baby_A549_F2_01162014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_A549_F2_01162014_1.wiff.scan	1	2	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 8	baby_A549_F2_01162014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_A549_F2_01162014_2.wiff.scan	1	2	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 9	baby_A549_F4_01162014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_A549_F4_01162014_1.wiff.scan	1	4	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 10	baby_A549_F4_01162014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_A549_F4_01162014_2.wiff.scan	1	4	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
