source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD002556-Sample-1	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 1	proteomic profiling by mass spectrometry	Ki6318_01b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6318_01b.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-1	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 2	proteomic profiling by mass spectrometry	Ki6318_02b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6318_02b.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-1	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 3	proteomic profiling by mass spectrometry	Ki6318_03b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6318_03b.RAW	1	3	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-1	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 4	proteomic profiling by mass spectrometry	Ki6318_04b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6318_04b.RAW	1	4	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-1	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 5	proteomic profiling by mass spectrometry	Ki6318_05b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6318_05b.RAW	1	5	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-1	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 6	proteomic profiling by mass spectrometry	Ki6318_06b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6318_06b.RAW	1	6	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-1	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 7	proteomic profiling by mass spectrometry	Ki6318_07b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6318_07b.RAW	1	7	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-1	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 8	proteomic profiling by mass spectrometry	Ki6318_08b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6318_08b.RAW	1	8	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-1	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 9	proteomic profiling by mass spectrometry	Ki6318_09b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6318_09b.RAW	1	9	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-1	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 10	proteomic profiling by mass spectrometry	Ki6318_10b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6318_10b.RAW	1	10	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-1	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 11	proteomic profiling by mass spectrometry	Ki6318_11b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6318_11b.RAW	1	11	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-1	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 12	proteomic profiling by mass spectrometry	Ki6318_12b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6318_12b.RAW	1	12	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-2	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 13	proteomic profiling by mass spectrometry	Ki6321_01b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6321_01b.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-2	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 14	proteomic profiling by mass spectrometry	Ki6321_02b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6321_02b.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-2	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 15	proteomic profiling by mass spectrometry	Ki6321_03b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6321_03b.RAW	1	3	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-2	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 16	proteomic profiling by mass spectrometry	Ki6321_04b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6321_04b.RAW	1	4	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-2	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 17	proteomic profiling by mass spectrometry	Ki6321_05b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6321_05b.RAW	1	5	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-2	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 18	proteomic profiling by mass spectrometry	Ki6321_06b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6321_06b.RAW	1	6	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-2	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 19	proteomic profiling by mass spectrometry	Ki6321_07b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6321_07b.RAW	1	7	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-2	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 20	proteomic profiling by mass spectrometry	Ki6321_08b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6321_08b.RAW	1	8	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-2	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 21	proteomic profiling by mass spectrometry	Ki6321_09b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6321_09b.RAW	1	9	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-2	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 22	proteomic profiling by mass spectrometry	Ki6321_10b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6321_10b.RAW	1	10	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-2	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 23	proteomic profiling by mass spectrometry	Ki6321_11b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6321_11b.RAW	1	11	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-2	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 24	proteomic profiling by mass spectrometry	Ki6321_12b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6321_12b.RAW	1	12	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-3	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 25	proteomic profiling by mass spectrometry	Ki6322_01b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6322_01b.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-3	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 26	proteomic profiling by mass spectrometry	Ki6322_02b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6322_02b.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-3	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 27	proteomic profiling by mass spectrometry	Ki6322_03b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6322_03b.RAW	1	3	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
PXD002556-Sample-3	Homo sapiens 	lung	Epithelial cell	not available	Non-small cell lung cancer	1	cell	run 28	proteomic profiling by mass spectrometry	Ki6322_04b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002556/Ki6322_04b.RAW	1	4	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	not available	35% NCE	20 ppm	0.5 Da	not available
