source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD004970-Sample-1	Homo sapiens	Cell culture	not available	DU145	Prostate cancer (PC)	1	run 1	DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD004970/DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_01.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=HCD;AC=PRIDE:0000590	35% NCE	20 ppm	20 ppm	DU145
PXD004970-Sample-1	Homo sapiens	Cell culture	not available	DU145	Prostate cancer (PC)	1	run 2	DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD004970/DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_02.raw	1	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=HCD;AC=PRIDE:0000590	35% NCE	20 ppm	20 ppm	DU145
PXD004970-Sample-1	Homo sapiens	Cell culture	not available	DU145	Prostate cancer (PC)	1	run 3	DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD004970/DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_03.raw	1	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=HCD;AC=PRIDE:0000590	35% NCE	20 ppm	20 ppm	DU145
PXD004970-Sample-1	Homo sapiens	Cell culture	not available	DU145	Prostate cancer (PC)	1	run 4	DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD004970/DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_04.raw	1	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=HCD;AC=PRIDE:0000590	35% NCE	20 ppm	20 ppm	DU145
PXD004970-Sample-1	Homo sapiens	Cell culture	not available	DU145	Prostate cancer (PC)	1	run 5	DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD004970/DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_05.raw	1	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=HCD;AC=PRIDE:0000590	35% NCE	20 ppm	20 ppm	DU145
PXD004970-Sample-1	Homo sapiens	Cell culture	not available	DU145	Prostate cancer (PC)	1	run 6	DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD004970/DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_06.raw	1	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=HCD;AC=PRIDE:0000590	35% NCE	20 ppm	20 ppm	DU145
PXD004970-Sample-1	Homo sapiens	Cell culture	not available	DU145	Prostate cancer (PC)	1	run 7	DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD004970/DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_07.raw	1	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=HCD;AC=PRIDE:0000590	35% NCE	20 ppm	20 ppm	DU145
PXD004970-Sample-1	Homo sapiens	Cell culture	not available	DU145	Prostate cancer (PC)	1	run 8	DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD004970/DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_08.raw	1	8	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=HCD;AC=PRIDE:0000590	35% NCE	20 ppm	20 ppm	DU145
PXD004970-Sample-1	Homo sapiens	Cell culture	not available	DU145	Prostate cancer (PC)	1	run 9	DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD004970/DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_09.raw	1	9	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=HCD;AC=PRIDE:0000590	35% NCE	20 ppm	20 ppm	DU145
PXD004970-Sample-1	Homo sapiens	Cell culture	not available	DU145	Prostate cancer (PC)	1	run 10	DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD004970/DU145_NT10_L_HMix_220ng_Fast_SDSPAGE_10.raw	1	10	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=HCD;AC=PRIDE:0000590	35% NCE	20 ppm	20 ppm	DU145
