source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD008190-Sample-1	Homo sapiens	not available	not available	Hep3B	not applicable	not applicable	not applicable	not applicable	1	cell	run 1	proteomic profiling by mass spectrometry	Hep3B#1_IDA_8ug_20170406_inj#1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD008190/Hep3B#1_IDA_8ug_20170406_inj#1.wiff.scan	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.07 Da	40 ppm	Hep3B
PXD008190-Sample-1	Homo sapiens	not available	not available	Hep3B	not applicable	not applicable	not applicable	not applicable	1	cell	run 2	proteomic profiling by mass spectrometry	Hep3B#1_MRM-HR_5ug.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD008190/Hep3B#1_MRM-HR_5ug.wiff.scan	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.07 Da	40 ppm	Hep3B
PXD008190-Sample-1	Homo sapiens	not available	not available	Hep3B	not applicable	not applicable	not applicable	not applicable	1	cell	run 3	proteomic profiling by mass spectrometry	Hep3B#1_SWATH_5ug.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD008190/Hep3B#1_SWATH_5ug.wiff.scan	3	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.07 Da	40 ppm	Hep3B
PXD008190-Sample-1	Homo sapiens	not available	not available	Hep3B	not applicable	not applicable	not applicable	not applicable	2	cell	run 4	proteomic profiling by mass spectrometry	Hep3B#2_IDA_5ug_20170406_inj#1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD008190/Hep3B#2_IDA_5ug_20170406_inj#1.wiff.scan	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.07 Da	40 ppm	Hep3B
PXD008190-Sample-1	Homo sapiens	not available	not available	Hep3B	not applicable	not applicable	not applicable	not applicable	2	cell	run 5	proteomic profiling by mass spectrometry	Hep3B#2_IDA_5ug_20170406_inj#2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD008190/Hep3B#2_IDA_5ug_20170406_inj#2.wiff.scan	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.07 Da	40 ppm	Hep3B
PXD008190-Sample-1	Homo sapiens	not available	not available	Hep3B	not applicable	not applicable	not applicable	not applicable	2	cell	run 6	proteomic profiling by mass spectrometry	Hep3B#2_MRM-HR_5ug.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD008190/Hep3B#2_MRM-HR_5ug.wiff.scan	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.07 Da	40 ppm	Hep3B
PXD008190-Sample-1	Homo sapiens	not available	not available	Hep3B	not applicable	not applicable	not applicable	not applicable	2	cell	run 7	proteomic profiling by mass spectrometry	Hep3B#2_SWATH_5ug.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD008190/Hep3B#2_SWATH_5ug.wiff.scan	3	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.07 Da	40 ppm	Hep3B
PXD008190-Sample-1	Homo sapiens	not available	not available	Hep3B	not applicable	not applicable	not applicable	not applicable	3	cell	run 8	proteomic profiling by mass spectrometry	Hep3B#3_IDA_8ug_20170406_inj#1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD008190/Hep3B#3_IDA_8ug_20170406_inj#1.wiff.scan	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.07 Da	40 ppm	Hep3B
PXD008190-Sample-1	Homo sapiens	not available	not available	Hep3B	not applicable	not applicable	not applicable	not applicable	3	cell	run 9	proteomic profiling by mass spectrometry	Hep3B#3_MRM-HR_5ug.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD008190/Hep3B#3_MRM-HR_5ug.wiff.scan	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.07 Da	40 ppm	Hep3B
PXD008190-Sample-1	Homo sapiens	not available	not available	Hep3B	not applicable	not applicable	not applicable	not applicable	3	cell	run 10	proteomic profiling by mass spectrometry	Hep3B#3_SWATH_5ug.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD008190/Hep3B#3_SWATH_5ug.wiff.scan	3	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.07 Da	40 ppm	Hep3B
