source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[depletion]	characteristics[biological replicate]	comment[technical replicate]	assay name	comment[label]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[collision energy]	comment[data file]	factor value[disease]
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run1	NT=label free sample;AC=MS:1002038	Ambs_10248_01.RAW	1	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_01.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run2	NT=label free sample;AC=MS:1002038	Ambs_10248_02.RAW	2	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_02.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run3	NT=label free sample;AC=MS:1002038	Ambs_10248_03.RAW	3	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_03.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run4	NT=label free sample;AC=MS:1002038	Ambs_10248_04.RAW	4	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_04.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run5	NT=label free sample;AC=MS:1002038	Ambs_10248_05.RAW	5	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_05.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run6	NT=label free sample;AC=MS:1002038	Ambs_10248_06.RAW	6	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_06.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run7	NT=label free sample;AC=MS:1002038	Ambs_10248_07.RAW	7	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_07.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run8	NT=label free sample;AC=MS:1002038	Ambs_10248_08.RAW	8	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_08.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run9	NT=label free sample;AC=MS:1002038	Ambs_10248_09.RAW	9	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_09.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run10	NT=label free sample;AC=MS:1002038	Ambs_10248_10.RAW	10	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_10.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run11	NT=label free sample;AC=MS:1002038	Ambs_10248_11.RAW	11	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_11.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run12	NT=label free sample;AC=MS:1002038	Ambs_10248_12.RAW	12	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_12.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run13	NT=label free sample;AC=MS:1002038	Ambs_10248_13.RAW	13	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_13.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run14	NT=label free sample;AC=MS:1002038	Ambs_10248_14.RAW	14	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_14.RAW	breast cancer
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run15	NT=label free sample;AC=MS:1002038	Ambs_10248_15.RAW	15	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_15.RAW	breast cancer
