Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[ancestry category]	Characteristics[disease]	Characteristics[age]	Characteristics[sex]	Characteristics[cell type]	Characteristics[treatment]	Characteristics[cell line]	Characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	factor value[cell line]	factor value[treatment]	sampleChecksum	sampleAccession
PXD007662-Sample 1	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	82	1	run 1	20161223_Qp2_53_82_T1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_53_82_T1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	82	none	05498dd5574b87e927be43aa7980e99031d397ab9fe47b2b4f670b806bd38a2c	SAMEA7714378
PXD007662-Sample 2	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	82	2	run 2	20161223_Qp2_49_82_T2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_49_82_T2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	82	none	ea6386c12b2ae256d72e06bd2e3f32ac22669ae997984f6ccbd7ec2cf6a71f7b	SAMEA7714379
PXD007662-Sample 3	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	82	3	run 3	20161223_Qp2_07_82_T3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_07_82_T3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	82	none	2f5981363ef8f99d490f9abeda1441f5adb9641ed1185e3a57350e1038a8f828	SAMEA7714380
PXD007662-Sample 4	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	82	4	run 4	20161223_Qp2_35_82_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_35_82_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	82	heat shock	2fe9e9abe751dea445480dbf0d432607d911fc17db4b533c99f068c0e47a9b8c	SAMEA7714381
PXD007662-Sample 5	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	82	5	run 5	20161223_Qp2_40_82_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_40_82_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	82	heat shock	41ab59bd156e5b799ec8b945fa0f5425dcab1a4267eebf7808c0c9789a5bcd99	SAMEA7714382
PXD007662-Sample 6	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	82	6	run 6	20161223_Qp2_64_82_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_64_82_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	82	heat shock	110a7f4481a6604586e3c82ef540170e3cb2639f63249e3b32a2e3c95092a97f	SAMEA7714383
PXD007662-Sample 7	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	335	1	run 7	20161223_Qp2_42_335_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_42_335_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	335	none	c9247abb3b2c3a7f68e8f7c2d8acfb3d860ba35d90cc4da9afad5a050ca9b2d7	SAMEA7714384
PXD007662-Sample 8	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	335	2	run 8	20161223_Qp2_24_335_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_24_335_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	335	none	46d06d96212a73903e391d77ba60b771c2cc4bb1f33bc177510d3b05b924fb00	SAMEA7714385
PXD007662-Sample 9	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	335	3	run 9	20161223_Qp2_68_335_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_68_335_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	335	none	1bb2bc63b408dec57756a94d081557826249d4c8d5901ca36cff679466c4dd23	SAMEA7714386
PXD007662-Sample 10	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	335	4	run 10	20161223_Qp2_44_335_T1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_44_335_T1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	335	heat shock	25b9073e7e72cb40da20828be6a9c214697acfcaf445bbfed9e5c246badba45b	SAMEA7714387
