source name	characteristics[organism]	characteristics[disease]	characteristics[organism part]	characteristics[developmental stage]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell line]	characteristics[cell type]	characteristics[depletion]	assay name	comment[technical replicate]	comment[fraction identifier]	comment[proteomexchange accession number]	comment[file URI]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[Label]	comment[dissociation method]	comment[collision energy]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
PXD019263-Sample 1	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 1	1	1	PXD019263	/apps/WDDD/PXD019263/HepG2_1-3.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_1-3.raw	HepG2
PXD019263-Sample 1	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 2	2	1	PXD019263	/apps/WDDD/PXD019263/HepG2_1-3_191221232043.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_1-3_191221232043.raw	HepG2
PXD019263-Sample 1	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 3	3	1	PXD019263	/apps/WDDD/PXD019263/HepG2_1-3_191222002312.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_1-3_191222002312.raw	HepG2
PXD019263-Sample 2	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 4	1	2	PXD019263	/apps/WDDD/PXD019263/HepG2_4.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_4.raw	HepG2
PXD019263-Sample 2	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 5	2	2	PXD019263	/apps/WDDD/PXD019263/HepG2_4_191219191744.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_4_191219191744.raw	HepG2
PXD019263-Sample 2	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 6	3	2	PXD019263	/apps/WDDD/PXD019263/HepG2_4_191219202018.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_4_191219202018.raw	HepG2
PXD019263-Sample 3	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 7	1	3	PXD019263	/apps/WDDD/PXD019263/HepG2_5.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_5.raw	HepG2
PXD019263-Sample 3	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 8	2	3	PXD019263	/apps/WDDD/PXD019263/HepG2_5_191219212249.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_5_191219212249.raw	HepG2
PXD019263-Sample 3	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 9	3	3	PXD019263	/apps/WDDD/PXD019263/HepG2_5_191219222520.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_5_191219222520.raw	HepG2
PXD019263-Sample 4	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 10	1	4	PXD019263	/apps/WDDD/PXD019263/HepG2_6.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_6.raw	HepG2
PXD019263-Sample 4	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 11	2	4	PXD019263	/apps/WDDD/PXD019263/HepG2_6_191219232751.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_6_191219232751.raw	HepG2
PXD019263-Sample 4	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 12	3	4	PXD019263	/apps/WDDD/PXD019263/HepG2_6_191220003020.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_6_191220003020.raw	HepG2
PXD019263-Sample 5	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 13	1	5	PXD019263	/apps/WDDD/PXD019263/HepG2_7.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_7.raw	HepG2
PXD019263-Sample 5	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 14	2	5	PXD019263	/apps/WDDD/PXD019263/HepG2_7_191220140025.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_7_191220140025.raw	HepG2
PXD019263-Sample 5	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 15	3	5	PXD019263	/apps/WDDD/PXD019263/HepG2_7_191220150305.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_7_191220150305.raw	HepG2
PXD019263-Sample 6	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 16	1	6	PXD019263	/apps/WDDD/PXD019263/HepG2_8.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_8.raw	HepG2
PXD019263-Sample 6	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 17	2	6	PXD019263	/apps/WDDD/PXD019263/HepG2_8_191220160535.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_8_191220160535.raw	HepG2
PXD019263-Sample 6	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 18	3	6	PXD019263	/apps/WDDD/PXD019263/HepG2_8_191220170804.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_8_191220170804.raw	HepG2
PXD019263-Sample 7	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 19	1	7	PXD019263	/apps/WDDD/PXD019263/HepG2_9.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_9.raw	HepG2
PXD019263-Sample 7	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 20	2	7	PXD019263	/apps/WDDD/PXD019263/HepG2_9_191220181035.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_9_191220181035.raw	HepG2
PXD019263-Sample 7	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 21	3	7	PXD019263	/apps/WDDD/PXD019263/HepG2_9_191220191306.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_9_191220191306.raw	HepG2
PXD019263-Sample 8	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 22	1	8	PXD019263	/apps/WDDD/PXD019263/HepG2_10.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_10.raw	HepG2
PXD019263-Sample 8	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 23	2	8	PXD019263	/apps/WDDD/PXD019263/HepG2_10_191220201535.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_10_191220201535.raw	HepG2
PXD019263-Sample 8	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 24	3	8	PXD019263	/apps/WDDD/PXD019263/HepG2_10_191220211805.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_10_191220211805.raw	HepG2
PXD019263-Sample 9	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 25	1	9	PXD019263	/apps/WDDD/PXD019263/HepG2_11.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_11.raw	HepG2
PXD019263-Sample 9	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 26	2	9	PXD019263	/apps/WDDD/PXD019263/HepG2_11_191220222036.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_11_191220222036.raw	HepG2
PXD019263-Sample 9	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 27	3	9	PXD019263	/apps/WDDD/PXD019263/HepG2_11_191220232305.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_11_191220232305.raw	HepG2
PXD019263-Sample 10	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 28	1	10	PXD019263	/apps/WDDD/PXD019263/HepG2_12.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_12.raw	HepG2
PXD019263-Sample 10	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 29	2	10	PXD019263	/apps/WDDD/PXD019263/HepG2_12_191221002536.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_12_191221002536.raw	HepG2
