Source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[enrichment method]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[synthetic peptide]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 101	ES_XP_Ubi_97H_302.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_302.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 102	ES_XP_Ubi_97H_303.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_303.raw	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 103	ES_XP_Ubi_97H_304.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_304.raw	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 104	ES_XP_Ubi_97H_305.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_305.raw	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 105	ES_XP_Ubi_97H_306.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_306.raw	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 106	ES_XP_Ubi_97H_307.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_307.raw	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 107	ES_XP_Ubi_97H_308.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_308.raw	1	7	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 108	ES_XP_Ubi_97H_309.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_309.raw	1	8	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 109	ES_XP_Ubi_97H_310.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_310.raw	1	9	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 110	ES_XP_Ubi_97H_311.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_311.raw	1	10	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
