source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[phenotype]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[data file]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[fractionation method]	comment[file uri]	comment[precursor mass tolerance]	comment[fragment tolerance]	factor value[phenotype]
PXD005173-Sample-1	Homo sapiens	colon	not available	not available	not available	not available	Normal	Colorectal cancer	1	not available	run 1	proteomic profiling by mass spectrometry	121026_CRC_N_Fr01.raw	1	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000210.0/121026_CRC_N_Fr01.raw	10 ppm 	0.5 Da	Normal
PXD005173-Sample-1	Homo sapiens	colon	not available	not available	not available	not available	Normal	Colorectal cancer	1	not available	run 2	proteomic profiling by mass spectrometry	121026_CRC_N_Fr02.raw	2	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000210.0/121026_CRC_N_Fr02.raw	10 ppm 	0.5 Da	Normal
PXD005173-Sample-1	Homo sapiens	colon	not available	not available	not available	not available	Normal	Colorectal cancer	1	not available	run 3	proteomic profiling by mass spectrometry	121026_CRC_N_Fr03.raw	3	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000210.0/121026_CRC_N_Fr03.raw	10 ppm 	0.5 Da	Normal
PXD005173-Sample-1	Homo sapiens	colon	not available	not available	not available	not available	Normal	Colorectal cancer	1	not available	run 4	proteomic profiling by mass spectrometry	121026_CRC_N_Fr04.raw	4	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000210.0/121026_CRC_N_Fr04.raw	10 ppm 	0.5 Da	Normal
PXD005173-Sample-1	Homo sapiens	colon	not available	not available	not available	not available	Normal	Colorectal cancer	1	not available	run 5	proteomic profiling by mass spectrometry	121026_CRC_N_Fr06.raw	5	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000210.0/121026_CRC_N_Fr06.raw	10 ppm 	0.5 Da	Normal
PXD005173-Sample-1	Homo sapiens	colon	not available	not available	not available	not available	Normal	Colorectal cancer	1	not available	run 6	proteomic profiling by mass spectrometry	121026_CRC_N_Fr07.raw	6	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000210.0/121026_CRC_N_Fr07.raw	10 ppm 	0.5 Da	Normal
PXD005173-Sample-1	Homo sapiens	colon	not available	not available	not available	not available	Normal	Colorectal cancer	1	not available	run 7	proteomic profiling by mass spectrometry	121026_CRC_N_Fr08.raw	7	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000210.0/121026_CRC_N_Fr08.raw	10 ppm 	0.5 Da	Normal
PXD005173-Sample-1	Homo sapiens	colon	not available	not available	not available	not available	Normal	Colorectal cancer	1	not available	run 8	proteomic profiling by mass spectrometry	121026_CRC_N_Fr09.raw	8	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000210.0/121026_CRC_N_Fr09.raw	10 ppm 	0.5 Da	Normal
PXD005173-Sample-1	Homo sapiens	colon	not available	not available	not available	not available	Normal	Colorectal cancer	1	not available	run 9	proteomic profiling by mass spectrometry	121026_CRC_N_Fr10.raw	9	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000210.0/121026_CRC_N_Fr10.raw	10 ppm 	0.5 Da	Normal
PXD005173-Sample-1	Homo sapiens	colon	not available	not available	not available	not available	Normal	Colorectal cancer	1	not available	run 10	proteomic profiling by mass spectrometry	121026_CRC_N_Fr11.raw	10	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000210.0/121026_CRC_N_Fr11.raw	10 ppm 	0.5 Da	Normal
