source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[cell line]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	Material Type	technology type	assay name	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[label]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[disease]
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150310VS40.raw	1	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150310VS40.raw	Meningioma
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150310VS41.raw	1	2	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150310VS41.raw	Meningioma
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150310VS42.raw	1	3	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150310VS42.raw	Meningioma
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150310VS43.raw	1	4	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150310VS43.raw	Meningioma
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150310VS44.raw	1	5	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150310VS44.raw	Meningioma
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 6	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150310VS45.raw	1	6	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150310VS45.raw	Meningioma
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 7	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150310VS47.raw	1	7	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150310VS47.raw	Meningioma
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 8	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150310VS48.raw	1	8	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150310VS48.raw	Meningioma
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 9	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150310VS49.raw	1	9	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150310VS49.raw	Meningioma
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 10	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150310VS50.raw	1	10	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150310VS50.raw	Meningioma
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 11	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150310VS51.raw	1	11	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150310VS51.raw	Meningioma
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 12	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150310VS52.raw	1	12	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150310VS52.raw	Meningioma
PXD007044-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	not available	Meningioma	not available	1	tissue	proteomic profiling by mass spectrometer	run 13	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD007044/20150910VS08.raw	1	13	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.5 Da	20 ppm	20150910VS08.raw	Meningioma
