source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]		factor value[organism part]
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 1	1	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22082.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22082.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 2	2	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22084.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22084.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 3	3	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22086.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22086.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 4	4	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22088.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22088.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 5	5	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22090.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22090.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 6	6	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22092.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22092.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 7	7	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22094.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22094.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 8	8	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22096.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22096.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 9	9	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22098.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22098.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 10	10	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22100.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22100.raw		colon
