source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[individual]	characteristics[biological replicate]	characteristics[country]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[sampling time]	assay name	comment[data file]	comment[file uri]	Technology type	comment[fraction identifier]	comment[fractionation method]	comment[technical replicate]	comment[label]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD013852-Sample-1	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	1	1	Senegal	not available	not available	not available	normal	no depletion	not applicable	Senegal_donors_fraction_1	Senegal_donors_fraction_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013852/Senegal_donors_fraction_1.raw	proteomic profiling by mass spectrometry	1	AC=PRIDE:0000554;NT= Hydrophilic interaction chromatography (HILIC)	1	TMT126	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Tandem_Mass_Tag_10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	NT=Tandem_Mass_Tag_10-plex;PP=Any N-term;MT=Fixed;AC=NCIT:C161869	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	65 NCE	20 ppm	0.03 Th	AC=CL:0000232; NT=erythrocyte
PXD013852-Sample-1	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	2	2	Senegal	not available	not available	not available	normal	no depletion	not applicable	Senegal_donors_fraction_1	Senegal_donors_fraction_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013852/Senegal_donors_fraction_1.raw	proteomic profiling by mass spectrometry	1	AC=PRIDE:0000554;NT= Hydrophilic interaction chromatography (HILIC)	1	TMT127N	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Tandem_Mass_Tag_10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	NT=Tandem_Mass_Tag_10-plex;PP=Any N-term;MT=Fixed;AC=NCIT:C161869	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	65 NCE	20 ppm	0.03 Th	AC=CL:0000232; NT=erythrocyte
PXD013852-Sample-1	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	3	3	Senegal	not available	not available	not available	normal	no depletion	not applicable	Senegal_donors_fraction_1	Senegal_donors_fraction_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013852/Senegal_donors_fraction_1.raw	proteomic profiling by mass spectrometry	1	AC=PRIDE:0000554;NT= Hydrophilic interaction chromatography (HILIC)	1	TMT127C	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Tandem_Mass_Tag_10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	NT=Tandem_Mass_Tag_10-plex;PP=Any N-term;MT=Fixed;AC=NCIT:C161869	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	65 NCE	20 ppm	0.03 Th	AC=CL:0000232; NT=erythrocyte
PXD013852-Sample-1	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	4	4	Senegal	not available	not available	not available	normal	no depletion	not applicable	Senegal_donors_fraction_1	Senegal_donors_fraction_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013852/Senegal_donors_fraction_1.raw	proteomic profiling by mass spectrometry	1	AC=PRIDE:0000554;NT= Hydrophilic interaction chromatography (HILIC)	1	TMT128N	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Tandem_Mass_Tag_10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	NT=Tandem_Mass_Tag_10-plex;PP=Any N-term;MT=Fixed;AC=NCIT:C161869	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	65 NCE	20 ppm	0.03 Th	AC=CL:0000232; NT=erythrocyte
PXD013852-Sample-1	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	5	5	Senegal	not available	not available	not available	normal	no depletion	not applicable	Senegal_donors_fraction_1	Senegal_donors_fraction_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013852/Senegal_donors_fraction_1.raw	proteomic profiling by mass spectrometry	1	AC=PRIDE:0000554;NT= Hydrophilic interaction chromatography (HILIC)	1	TMT128C	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Tandem_Mass_Tag_10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	NT=Tandem_Mass_Tag_10-plex;PP=Any N-term;MT=Fixed;AC=NCIT:C161869	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	65 NCE	20 ppm	0.03 Th	AC=CL:0000232; NT=erythrocyte
PXD013852-Sample-1	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	6	6	Senegal	not available	not available	not available	normal	no depletion	not applicable	Senegal_donors_fraction_1	Senegal_donors_fraction_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013852/Senegal_donors_fraction_1.raw	proteomic profiling by mass spectrometry	1	AC=PRIDE:0000554;NT= Hydrophilic interaction chromatography (HILIC)	1	TMT129N	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Tandem_Mass_Tag_10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	NT=Tandem_Mass_Tag_10-plex;PP=Any N-term;MT=Fixed;AC=NCIT:C161869	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	65 NCE	20 ppm	0.03 Th	AC=CL:0000232; NT=erythrocyte
PXD013852-Sample-1	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	7	7	Senegal	not available	not available	not available	normal	no depletion	not applicable	Senegal_donors_fraction_1	Senegal_donors_fraction_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013852/Senegal_donors_fraction_1.raw	proteomic profiling by mass spectrometry	1	AC=PRIDE:0000554;NT= Hydrophilic interaction chromatography (HILIC)	1	TMT129C	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Tandem_Mass_Tag_10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	NT=Tandem_Mass_Tag_10-plex;PP=Any N-term;MT=Fixed;AC=NCIT:C161869	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	65 NCE	20 ppm	0.03 Th	AC=CL:0000232; NT=erythrocyte
PXD013852-Sample-1	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	8	8	Senegal	not available	not available	not available	normal	no depletion	not applicable	Senegal_donors_fraction_1	Senegal_donors_fraction_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013852/Senegal_donors_fraction_1.raw	proteomic profiling by mass spectrometry	1	AC=PRIDE:0000554;NT= Hydrophilic interaction chromatography (HILIC)	1	TMT130N	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Tandem_Mass_Tag_10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	NT=Tandem_Mass_Tag_10-plex;PP=Any N-term;MT=Fixed;AC=NCIT:C161869	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	65 NCE	20 ppm	0.03 Th	AC=CL:0000232; NT=erythrocyte
PXD013852-Sample-1	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	9	9	Senegal	not available	not available	not available	normal	no depletion	not applicable	Senegal_donors_fraction_1	Senegal_donors_fraction_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013852/Senegal_donors_fraction_1.raw	proteomic profiling by mass spectrometry	1	AC=PRIDE:0000554;NT= Hydrophilic interaction chromatography (HILIC)	1	TMT130C	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Tandem_Mass_Tag_10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	NT=Tandem_Mass_Tag_10-plex;PP=Any N-term;MT=Fixed;AC=NCIT:C161869	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	65 NCE	20 ppm	0.03 Th	AC=CL:0000232; NT=erythrocyte
PXD013852-Sample-2	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	1	1	Senegal	not available	not available	not available	normal	no depletion	not applicable	Senegal_donors_fraction_2	Senegal_donors_fraction_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013852/Senegal_donors_fraction_2.raw	proteomic profiling by mass spectrometry	2	AC=PRIDE:0000554;NT= Hydrophilic interaction chromatography (HILIC)	1	TMT126	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Tandem_Mass_Tag_10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	NT=Tandem_Mass_Tag_10-plex;PP=Any N-term;MT=Fixed;AC=NCIT:C161869	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	65 NCE	20 ppm	0.03 Th	AC=CL:0000232; NT=erythrocyte
