source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[group age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[depletion]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	factor value[organism part]
PXD019059-Sample-1	Homo Sapiens	erythrocyte	erythrocyte	not available	not available	child	not available	not available	normal	not available	1	no depletion	run 1	proteomic profiling by mass spectrometer	CELL492_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD019059/CELL492_5.raw	1	TMT126	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732 	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	0.06 Da	AC=MS:1000422;NT=HCD	erythrocyte
PXD019059-Sample-2	Homo Sapiens	erythrocyte	erythrocyte	not available	not available	child	not available	not available	normal	not available	2	no depletion	run 2	proteomic profiling by mass spectrometer	CELL492_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD019059/CELL492_5.raw	1	TMT127	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732 	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	0.06 Da	AC=MS:1000422;NT=HCD	erythrocyte
PXD019059-Sample-3	Homo Sapiens	erythrocyte	erythrocyte	not available	not available	child	not available	not available	normal	not available	3	no depletion	run 3	proteomic profiling by mass spectrometer	CELL492_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD019059/CELL492_5.raw	1	TMT128	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732 	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	0.06 Da	AC=MS:1000422;NT=HCD	erythrocyte
PXD019059-Sample-4	Homo Sapiens	erythrocyte	erythrocyte	not available	not available	child	not available	not available	normal	not available	4	no depletion	run 4	proteomic profiling by mass spectrometer	CELL492_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD019059/CELL492_5.raw	1	TMT129	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732 	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	0.06 Da	AC=MS:1000422;NT=HCD	erythrocyte
PXD019059-Sample-5	Homo Sapiens	erythrocyte	erythrocyte	not available	not available	child	not available	not available	normal	not available	5	no depletion	run 5	proteomic profiling by mass spectrometer	CELL492_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD019059/CELL492_5.raw	1	TMT130	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732 	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	0.06 Da	AC=MS:1000422;NT=HCD	erythrocyte
PXD019059-Sample-6	Homo Sapiens	erythrocyte	erythrocyte	not available	not available	child	not available	not available	normal	not available	6	no depletion	run 6	proteomic profiling by mass spectrometer	CELL492_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD019059/CELL492_5.raw	1	TMT131	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732 	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	0.06 Da	AC=MS:1000422;NT=HCD	erythrocyte
PXD019059-Sample-7	Homo Sapiens	erythrocyte	erythrocyte	not available	not available	adult	female	not available	hereditary elliptocytosis	not available	1	no depletion	run 7	proteomic profiling by mass spectrometer	CELL535_input_MS3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD019059/CELL535_input_MS3.raw	1	TMT126	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732 	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	0.06 Da	AC=MS:1000422;NT=HCD	erythrocyte
PXD019059-Sample-8	Homo Sapiens	erythrocyte	erythrocyte	not available	not available	adult	female	not available	hereditary elliptocytosis	not available	1	no depletion	run 8	proteomic profiling by mass spectrometer	CELL535_input_MS3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD019059/CELL535_input_MS3.raw	1	TMT127	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732 	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	0.06 Da	AC=MS:1000422;NT=HCD	erythrocyte
PXD019059-Sample-9	Homo Sapiens	erythrocyte	erythrocyte	not available	not available	adult	female	not available	hereditary elliptocytosis	not available	1	no depletion	run 9	proteomic profiling by mass spectrometer	CELL535_input_MS3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD019059/CELL535_input_MS3.raw	1	TMT128	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732 	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	0.06 Da	AC=MS:1000422;NT=HCD	erythrocyte
PXD019059-Sample-10	Homo Sapiens	erythrocyte	erythrocyte	not available	not available	adult	female	not available	hereditary elliptocytosis	not available	2	no depletion	run 10	proteomic profiling by mass spectrometer	CELL535_input_MS3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD019059/CELL535_input_MS3.raw	1	TMT129	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732 	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	0.06 Da	AC=MS:1000422;NT=HCD	erythrocyte
