source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ expressed cytokine]	characteristics[activation encounter]	characteristics[activation state]	characteristics[individual]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[fractionation method]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD012874-Sample-1	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	"""-Ifng; -IL2"""	not applicable	not applicable	not applicable	1	not available	not available	male	not available	normal	no depletion	not applicable	run 1	proteomic profiling by mass spectrometry	DN-_040816.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD012874/DN-_040816.raw	1	1	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	not available	20 ppm	0.5 Da	"CD8-positive, alpha-beta T cell"
PXD012874-Sample-2	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	"""-Ifng; -IL2"""	not applicable	not applicable	not applicable	1	not available	not available	male	not available	normal	no depletion	not applicable	run 2	proteomic profiling by mass spectrometry	DN-_210616.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD012874/DN-_210616.raw	1	2	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001252	NT=Orbitrap Fusion;AC=MS:1002417	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	not available	20 ppm	0.5 Da	"CD8-positive, alpha-beta T cell"
PXD012874-Sample-3	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	"""-Ifng; -IL2"""	not applicable	not applicable	not applicable	1	not available	not available	male	not available	normal	no depletion	not applicable	run 3	proteomic profiling by mass spectrometry	DN-_230916.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD012874/DN-_230916.raw	1	3	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001253	NT=Orbitrap Fusion;AC=MS:1002418	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	not available	20 ppm	0.5 Da	"CD8-positive, alpha-beta T cell"
PXD012874-Sample-4	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	"""+Ifng; +IL2"""	not applicable	not applicable	not applicable	1	not available	not available	male	not available	normal	no depletion	not applicable	run 4	proteomic profiling by mass spectrometry	DP+_040816.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD012874/DP+_040816.raw	1	1	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001254	NT=Orbitrap Fusion;AC=MS:1002419	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	not available	20 ppm	0.5 Da	"CD8-positive, alpha-beta T cell"
PXD012874-Sample-5	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	"""+Ifng; +IL2"""	not applicable	not applicable	not applicable	1	not available	not available	male	not available	normal	no depletion	not applicable	run 5	proteomic profiling by mass spectrometry	DP+_210616.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD012874/DP+_210616.raw	1	2	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001255	NT=Orbitrap Fusion;AC=MS:1002420	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	not available	20 ppm	0.5 Da	"CD8-positive, alpha-beta T cell"
PXD012874-Sample-6	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	"""+Ifng; +IL2"""	not applicable	not applicable	not applicable	1	not available	not available	male	not available	normal	no depletion	not applicable	run 6	proteomic profiling by mass spectrometry	DP+_230916.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD012874/DP+_230916.raw	1	3	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001256	NT=Orbitrap Fusion;AC=MS:1002421	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	not available	20 ppm	0.5 Da	"CD8-positive, alpha-beta T cell"
PXD012874-Sample-7	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	"""-Ifng; +IL2"""	not applicable	not applicable	not applicable	1	not available	not available	male	not available	normal	no depletion	not applicable	run 7	proteomic profiling by mass spectrometry	IL2_040816.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD012874/IL2_040816.raw	1	1	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001257	NT=Orbitrap Fusion;AC=MS:1002422	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	not available	20 ppm	0.5 Da	"CD8-positive, alpha-beta T cell"
PXD012874-Sample-8	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	"""-Ifng; +IL2"""	not applicable	not applicable	not applicable	1	not available	not available	male	not available	normal	no depletion	not applicable	run 8	proteomic profiling by mass spectrometry	IL2_210616.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD012874/IL2_210616.raw	1	2	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001258	NT=Orbitrap Fusion;AC=MS:1002423	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	not available	20 ppm	0.5 Da	"CD8-positive, alpha-beta T cell"
PXD012874-Sample-9	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	"""-Ifng; +IL2"""	not applicable	not applicable	not applicable	1	not available	not available	male	not available	normal	no depletion	not applicable	run 9	proteomic profiling by mass spectrometry	IL2_230916.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD012874/IL2_230916.raw	1	3	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001259	NT=Orbitrap Fusion;AC=MS:1002424	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	not available	20 ppm	0.5 Da	"CD8-positive, alpha-beta T cell"
PXD012874-Sample-10	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	"""+Ifng; -IL2"""	not applicable	not applicable	not applicable	1	not available	not available	male	not available	normal	no depletion	not applicable	run 10	proteomic profiling by mass spectrometry	IfnG_040816.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD012874/IfnG_040816.raw	1	1	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001260	NT=Orbitrap Fusion;AC=MS:1002425	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	not available	20 ppm	0.5 Da	"CD8-positive, alpha-beta T cell"
