										Triplicados	Vuelvo a empezar?																
source name	Organism	Organism part	Age	Developmental stage	Cell line	Cell type	Sex	Disease	Prognosis	Biological replicate	Individual	Material Type	Assay name	Technology type	Proteomics data acquisition method	Data file	File uri	Technical replicate	comment[fraction identifier]	Label	Instrument	Modification parameters	Cleavage agent details	m/z acquisition range	Precursor mass tolerance	Fragment mass tolerance]	Prognosis
20141201_qEp2_LC11_PhGe_SA_4_49_10_1	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_10_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_10_2	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_10_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_10_3	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_10_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_25_1	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_25_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_25_2	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_25_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_25_3	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_25_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_50_2	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_50_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_50_3	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_50_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_50_4	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_50_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
