										Triplicados	Vuelvo a empezar?																
source name	Organism	Organism part	Age	Developmental stage	Cell line	Cell type	Sex	Disease	Prognosis	Biological replicate	Individual	Material Type	Assay name	Technology type	Proteomics data acquisition method	Data file	File uri	Technical replicate	comment[fraction identifier]	Label	Instrument	Modification parameters	Cleavage agent details	m/z acquisition range	Precursor mass tolerance	Fragment mass tolerance]	Prognosis
PXD002854 20140903_QEp1_LC7_PhGe_SA_4_48_Top6_Top20_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	1	Tissue	20140903_QEp1_LC7_PhGe_SA_4_48_Top6_Top20_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15RepeatedInjections.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15RepeatedInjections.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20140903_QEp1_LC7_PhGe_SA_4_48_Top6_Top20_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	2	1	Tissue	20140903_QEp1_LC7_PhGe_SA_4_48_Top6_Top20_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15RepeatedInjections.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15RepeatedInjections.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20140903_QEp1_LC7_PhGe_SA_4_48_Top6_Top20_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	3	1	Tissue	20140903_QEp1_LC7_PhGe_SA_4_48_Top6_Top20_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15RepeatedInjections.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15RepeatedInjections.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20150202_QEp2_LC11_PhGe_SA_4_57_B1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	2	Tissue	20150202_QEp2_LC11_PhGe_SA_4_57_B1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Fingers.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20150202_QEp2_LC11_PhGe_SA_4_57_B2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	2	2	Tissue	20150202_QEp2_LC11_PhGe_SA_4_57_B2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Fingers.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20150202_QEp2_LC11_PhGe_SA_4_57_B3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	3	2	Tissue	20150202_QEp2_LC11_PhGe_SA_4_57_B3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Fingers.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20150202_QEp2_LC11_PhGe_SA_4_57_B4	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	4	2	Tissue	20150202_QEp2_LC11_PhGe_SA_4_57_B4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Fingers.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20150202_QEp2_LC11_PhGe_SA_4_57_B5	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	5	2	Tissue	20150202_QEp2_LC11_PhGe_SA_4_57_B5	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Fingers.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20150202_QEp2_LC11_PhGe_SA_4_57_B6	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	6	2	Tissue	20150202_QEp2_LC11_PhGe_SA_4_57_B6	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Fingers.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20150202_QEp2_LC11_PhGe_SA_4_57_B7	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	7	2	Tissue	20150202_QEp2_LC11_PhGe_SA_4_57_B7	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Fingers.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
