source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameter]	comment[modification parameter]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_01_150417011711	proteomic profiling by mass spectrometry	20150414_QEp1_LC7_GaPI_SA_Serum_DT_01_150417011711.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20150414_QEp1_LC7_GaPI_SA_Serum_DT_01_150417011711.raw	1	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_02	proteomic profiling by mass spectrometry	20140903_QEp1_LC7_PhGe_SA_4_48_Top6_Top20_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20140903_QEp1_LC7_PhGe_SA_4_48_Top6_Top20_2.raw	2	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_03_150416181741	proteomic profiling by mass spectrometry	20140903_QEp1_LC7_PhGe_SA_4_48_Top6_Top20_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20140903_QEp1_LC7_PhGe_SA_4_48_Top6_Top20_3.raw	3	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_04	proteomic profiling by mass spectrometry	20150202_QEp2_LC11_PhGe_SA_4_57_B1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20150202_QEp2_LC11_PhGe_SA_4_57_B1.raw	4	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_05	proteomic profiling by mass spectrometry	20150202_QEp2_LC11_PhGe_SA_4_57_B2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20150202_QEp2_LC11_PhGe_SA_4_57_B2.raw	5	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_06_150416213125	proteomic profiling by mass spectrometry	20150202_QEp2_LC11_PhGe_SA_4_57_B3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20150202_QEp2_LC11_PhGe_SA_4_57_B3.raw	6	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_07	proteomic profiling by mass spectrometry	20150202_QEp2_LC11_PhGe_SA_4_57_B4.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20150202_QEp2_LC11_PhGe_SA_4_57_B4.raw	7	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_08	proteomic profiling by mass spectrometry	20150202_QEp2_LC11_PhGe_SA_4_57_B5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20150202_QEp2_LC11_PhGe_SA_4_57_B5.raw	8	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_09	proteomic profiling by mass spectrometry	20150202_QEp2_LC11_PhGe_SA_4_57_B6.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20150202_QEp2_LC11_PhGe_SA_4_57_B6.raw	9	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_10_150416223553	proteomic profiling by mass spectrometry	20150202_QEp2_LC11_PhGe_SA_4_57_B7.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20150202_QEp2_LC11_PhGe_SA_4_57_B7.raw	10	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
