source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	comment[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameter]	comment[modification parameter]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	value[organism part]
PXD008468-Sample-1	Homo sapiens	blood plasma		not applicable	not applicable	not applicable	not applicable	not applicable		no depletion		no aplicable	Sample_10_GH10	proteomic profiling by mass spectrometry	Sample_10_GH10.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD008468Sample_10_GH10.raw		AC=PRIDE:0000554; NT= Hydrophilic interaction chromatography (HILIC)			NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	30 NCE	8 ppm	0.05 Da	blood plasma
PXD008468-Sample-2	Homo sapiens	blood plasma		not applicable	not applicable	not applicable	not applicable	not applicable		no depletion		no aplicable	Sample_10_GH11	proteomic profiling by mass spectrometry	Sample_10_GH11.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD008469Sample_10_GH11.raw		AC=PRIDE:0000554; NT= Hydrophilic interaction chromatography (HILIC)			NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:8"	AC=MS:1000422;NT=HCD	30 NCE	8 ppm	0.05 Da	blood plasma
PXD008468-Sample-3	Homo sapiens	blood plasma		not applicable	not applicable	not applicable	not applicable	not applicable		no depletion		no aplicable	Sample_10_GH2	proteomic profiling by mass spectrometry	Sample_10_GH2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD008470Sample_10_GH2.raw		AC=PRIDE:0000554; NT= Hydrophilic interaction chromatography (HILIC)			NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:9"	AC=MS:1000422;NT=HCD	30 NCE	8 ppm	0.05 Da	blood plasma
PXD008468-Sample-4	Homo sapiens	blood plasma		not applicable	not applicable	not applicable	not applicable	not applicable		no depletion		no aplicable	Sample_10_GH3	proteomic profiling by mass spectrometry	Sample_10_GH3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD008471Sample_10_GH3.raw		AC=PRIDE:0000554; NT= Hydrophilic interaction chromatography (HILIC)			NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:10"	AC=MS:1000422;NT=HCD	30 NCE	8 ppm	0.05 Da	blood plasma
PXD008468-Sample-5	Homo sapiens	blood plasma		not applicable	not applicable	not applicable	not applicable	not applicable		no depletion		no aplicable	Sample_10_GH4	proteomic profiling by mass spectrometry	Sample_10_GH4.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD008472Sample_10_GH4.raw		AC=PRIDE:0000554; NT= Hydrophilic interaction chromatography (HILIC)			NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:11"	AC=MS:1000422;NT=HCD	30 NCE	8 ppm	0.05 Da	blood plasma
PXD008468-Sample-6	Homo sapiens	blood plasma		not applicable	not applicable	not applicable	not applicable	not applicable		no depletion		no aplicable	Sample_10_GH5	proteomic profiling by mass spectrometry	Sample_10_GH5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD008473Sample_10_GH5.raw		AC=PRIDE:0000554; NT= Hydrophilic interaction chromatography (HILIC)			NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:12"	AC=MS:1000422;NT=HCD	30 NCE	8 ppm	0.05 Da	blood plasma
PXD008468-Sample-7	Homo sapiens	blood plasma		not applicable	not applicable	not applicable	not applicable	not applicable		no depletion		no aplicable	Sample_10_GH6	proteomic profiling by mass spectrometry	Sample_10_GH6.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD008474Sample_10_GH6.raw		AC=PRIDE:0000554; NT= Hydrophilic interaction chromatography (HILIC)			NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:13"	AC=MS:1000422;NT=HCD	30 NCE	8 ppm	0.05 Da	blood plasma
PXD008468-Sample-8	Homo sapiens	blood plasma		not applicable	not applicable	not applicable	not applicable	not applicable		no depletion		no aplicable	Sample_10_GH7	proteomic profiling by mass spectrometry	Sample_10_GH7.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD008475Sample_10_GH7.raw		AC=PRIDE:0000554; NT= Hydrophilic interaction chromatography (HILIC)			NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:14"	AC=MS:1000422;NT=HCD	30 NCE	8 ppm	0.05 Da	blood plasma
PXD008468-Sample-9	Homo sapiens	blood plasma		not applicable	not applicable	not applicable	not applicable	not applicable		no depletion		no aplicable	Sample_10_GH8	proteomic profiling by mass spectrometry	Sample_10_GH8.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD008476Sample_10_GH8.raw		AC=PRIDE:0000554; NT= Hydrophilic interaction chromatography (HILIC)			NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:15"	AC=MS:1000422;NT=HCD	30 NCE	8 ppm	0.05 Da	blood plasma
PXD008468-Sample-10	Homo sapiens	blood plasma		not applicable	not applicable	not applicable	not applicable	not applicable		no depletion		no aplicable	Sample_10_GH9	proteomic profiling by mass spectrometry	Sample_10_GH9.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD008477Sample_10_GH9.raw		AC=PRIDE:0000554; NT= Hydrophilic interaction chromatography (HILIC)			NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:16"	AC=MS:1000422;NT=HCD	30 NCE	8 ppm	0.05 Da	blood plasma
