Comentarios								No lo tengo claro, no especifica que sean healthy													Duda						
source name	Organism	Organism part	Age	Developmental stage	Cell line	Cell type	Sex	Disease	Prognosis	Biological replicate	Individual	Material Type	Assay name	Technology type	Proteomics data acquisition method	Data file	File uri	Technical replicate	comment[fraction identifier]	Label	Instrument	Modification parameters	Cleavage agent details	m/z acquisition range	Precursor mass tolerance	Fragment mass tolerance]	Prognosis
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc1 (2)	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc1 (2)	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc1 (2).raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc1 (2).raw	1	1	NT=label free sample	EASY-nLC 1200 system, Q Exactive HF Orbitrap, nano-electrospray ion source	"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc2 (2)	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	2	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc2 (2)	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc2 (2).raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc2 (2).raw	1	2	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc3 (2)	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	3	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc3 (2)	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc3 (2).raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc3 (2).raw	1	3	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc4 (2)	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	4	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc4 (2)	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc4 (2).raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc4 (2).raw	1	4	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc5 (2)	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	5	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc5 (2)	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc5 (2).raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc5 (2).raw	1	5	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc6	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	6	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc6	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc6.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc6.raw	1	6	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161017_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc7	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	7	1	Tissue	20161017_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc7	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161017_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc7.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161017_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc7.raw	1	7	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc8	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	8	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc8	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc8.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc8.raw	1	8	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc9	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	9	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc9	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc9.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc9.raw	1	9	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc10	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	10	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc10	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc10.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc10.raw	1	10	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc11	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	11	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc11	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc11.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc11.raw	1	11	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc12	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	12	1	Tissue	20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc12	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc12.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc12.raw	1	12	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc13	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	13	1	Tissue	20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc13	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc13.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc13.raw	1	13	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc14	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	14	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc14	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc14.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc14.raw	1	14	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc15	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	15	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc15	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc15.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc15.raw	1	15	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc16	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	16	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc16	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc16.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc16.raw	1	16	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
