Comentarios										Esto esta bien?	Con las fracciones que?		No se si hay	Esto esta bien?		Esto o blood.zip			Puede ser FX?		Duda	"Esto + Oxidation (M);Acetyl (Protein N-term)?"	LysC lo quito?				
source name	Organism	Organism part	Age	Developmental stage	Cell line	Cell type	Sex	Disease	Prognosis	Biological replicate	Individual	Material Type	Assay name	Technology type	Proteomics data acquisition method	Data file	File uri	Technical replicate	comment[fraction identifier]	Label	Instrument	Modification parameters	Cleavage agent details	m/z acquisition range	Precursor mass tolerance	Fragment mass tolerance]	Prognosis
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_B9_Ind_1	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	1	Tissue	Run 1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_B10_Ind_2	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	2	2	Tissue	Run 2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_B11_Ind_3	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	3	3	Tissue	Run 3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_B12_Ind_4	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	4	4	Tissue	Run 4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_C1_Ind_5	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	5	5	Tissue	Run 5	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_C2_Ind_6	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	6	6	Tissue	Run 6	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_C3_Ind_7	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	7	7	Tissue	Run 7	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_C4_Ind_8	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	8	8	Tissue	Run 8	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_C5_Ind_9	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	9	9	Tissue	Run 9	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_C6_Ind_10	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	10	10	Tissue	Run 10	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_C7_Ind_11	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	11	11	Tissue	Run 11	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_C8_Ind_12	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	12	12	Tissue	Run 12	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_C9_Ind_13	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	13	13	Tissue	Run 13	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_C10_Ind_14	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	14	14	Tissue	Run 14	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_C11_Ind_15	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	15	15	Tissue	Run 15	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_C12_Ind_16	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	16	16	Tissue	Run 16	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_D1_Ind_17	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	17	17	Tissue	Run 17	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_D2_Ind_18	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	18	18	Tissue	Run 18	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_D3_Ind_19	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	19	19	Tissue	Run 19	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_WholeBlood_D4_Ind_20	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	20	20	Tissue	Run 20	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F1	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	1	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F2	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	2	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F3	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	3	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F4	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	4	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F5	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	5	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F6	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	6	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F7	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	7	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F8	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	8	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F9	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	9	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F10	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	10	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F11	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	11	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F12	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	12	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F13	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	13	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
