		Esto onology esta bien?																									
source name	Organism	Organism part	Age	Developmental stage	Cell line	Cell type	Sex	Disease	Prognosis	Biological replicate	Individual	Material Type	Assay name	Technology type	Proteomics data acquisition method	Data file	File uri	Technical replicate	comment[fraction identifier]	Label	Instrument	Modification parameters	Cleavage agent details	m/z acquisition range	Precursor mass tolerance	Fragment mass tolerance]	Prognosis
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_A12_Ind_17	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	1	Tissue	Run 1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_B12_Ind_18	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	2	2	Tissue	Run 2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_C12_Ind_19	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	3	3	Tissue	Run 3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_D12_Ind_20	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	4	4	Tissue	Run 4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_G9_Ind_1	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	5	5	Tissue	Run 5	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_G10_Ind_2	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	6	6	Tissue	Run 6	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_G11_Ind_3	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	7	7	Tissue	Run 7	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_G12_Ind_4	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	8	8	Tissue	Run 8	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_H1_Ind_5	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	9	9	Tissue	Run 9	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_H2_Ind_6	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	10	10	Tissue	Run 10	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_H4_Ind_8	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	11	11	Tissue	Run 11	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
